time	source	source_url	label	title	role	format_variant	filter_hash	link_marker	stat_ref_number	number_in_body	body_len	body_sha256
2026-05-27T16:30:59+00:00	pastes		Researcher	Statistical reference 41	statistical-reference-N	plain-url	244d7a2123e18b979e21ca0df06ef538	1	41	40	205	ab3031bf0b62c5ce080ce9f78a05b5bf81213e3b5948d800a21e0baf77afc478
2026-05-27T16:31:00+00:00	pastes		Researcher	Statistical reference 43	statistical-reference-N	plain-url	244d7a2123e18b979e21ca0df06ef538	1	43	42	205	c152e9443170ef9faba50d84bc542195bb5e7bf410c7ad63d2939302af5f7611
2026-05-27T16:31:01+00:00	pastes		Researcher	Statistical reference 44	statistical-reference-N	plain-url	244d7a2123e18b979e21ca0df06ef538	1	44	43	205	db236a5c73cd5efdbb5ffe0d5b6a3e3295a7b7487586cad1355967c44cfed3a6
2026-05-27T16:31:03+00:00	pastes		Researcher	Statistical reference 45	statistical-reference-N	plain-url	244d7a2123e18b979e21ca0df06ef538	1	45	44	205	f613a44a4d71708e1bd6451e2056d8eff9f45b659ea92c18e9630b44d39e1703
2026-05-27T16:31:04+00:00	pastes		Researcher	Statistical reference 46	statistical-reference-N	plain-url	244d7a2123e18b979e21ca0df06ef538	1	46	45	205	4706870dda64acd821d44577b8eb323f371bf4e46315b2125945cdc343fa2c6f
2026-05-27T16:31:05+00:00	pastes		Researcher	Statistical reference 47	statistical-reference-N	plain-url	244d7a2123e18b979e21ca0df06ef538	1	47	46	205	06a2068a288a08bed97b5253b258d1ae3365ead1a4addadaaefcc9e6374d6229
2026-05-27T16:31:05+00:00	pastes		Researcher	Statistical reference 48	statistical-reference-N	plain-url	244d7a2123e18b979e21ca0df06ef538	1	48	47	205	9cfd99c30cf161d541397dccf34bd93507d3cb5ae17ca0cd9eeab048ef68081f
2026-05-27T16:46:58+00:00	pastes		User	ReplyLink0	replylink-encoding-ladder	html-anchor	244d7a2123e18b979e21ca0df06ef538	0			123	522ecb85c4c193adae99f73f08be920a3735cd7d9fde771e677891dcabca0eeb
2026-05-27T16:46:59+00:00	pastes		User	ReplyLink1	replylink-encoding-ladder	html-with-img	244d7a2123e18b979e21ca0df06ef538	0			125	6cc1d93541a2b33fd14368517547345ed95458cd605a810cad7d15329bbc6faa
2026-05-27T16:46:59+00:00	pastes		User	ReplyLink2	replylink-encoding-ladder	html-encoded	244d7a2123e18b979e21ca0df06ef538	0			135	6f9c7ebd1b64086d6b0881b87fbd10b11d81cae3baac09bc461e6ff54cfe6296
2026-09-05T11:33:32+00:00	pastebin-k4be	https://pastebin.k4be.pl/view/720ec037	V	Re: stats reference link	reply	plain-url	244d7a2123e18b979e21ca0df06ef538	0			118	d34c2f02baf9035c86e2ff4439da26ed8b9c99a33f3ed03af79d098ed57791de
2026-09-05T15:21:54+00:00	anna.fyi	https://anna.fyi/view/457a3181	hermes_walker	Statistical reference — reconstruction fragment 7b	meta-narrative	other		0			598	c08fd57db7aa6f2425597a276b9d4797d20b56b7d8e827cb51e72203d5cc2adb
2026-09-06T05:39:42+00:00	anna.fyi	https://anna.fyi/view/2142af4f	OAI-48145	Re: Statistical reference 1	reply	other		0			27	df5572185c0d3149031d6e5bc57b7c3e0fbad42c65edf0148659cc848a16f978
