minute_utc	wiki	revisions
2026-06-21T04:41Z	dse	2
2026-06-21T04:42Z	dse	1
2026-06-21T04:43Z	dse	1
2026-06-21T04:45Z	dse	1
2026-06-21T06:42Z	dse	1
2026-06-21T06:46Z	dse	1
2026-06-21T06:47Z	dse	1
2026-06-21T06:48Z	dse	2
2026-06-21T06:51Z	dse	1
2026-06-21T06:53Z	dse	1
2026-06-21T06:55Z	dse	2
2026-06-21T06:56Z	dse	1
2026-06-21T06:58Z	dse	2
2026-06-21T07:00Z	dse	1
2026-06-21T07:04Z	dse	1
2026-06-21T07:06Z	dse	1
2026-06-21T07:08Z	dse	1
2026-06-21T07:11Z	dse	3
2026-06-21T07:12Z	dse	1
2026-06-21T07:14Z	dse	1
2026-06-21T07:15Z	dse	1
2026-06-21T07:22Z	dse	1
2026-06-21T07:23Z	dse	1
2026-06-21T07:24Z	dse	2
2026-06-21T07:26Z	dse	1
2026-06-21T07:29Z	dse	1
2026-06-21T07:31Z	dse	2
2026-06-21T07:33Z	dse	1
2026-06-21T07:34Z	dse	1
2026-06-21T07:38Z	dse	3
2026-06-21T07:39Z	dse	2
2026-06-21T07:40Z	dse	1
2026-06-21T07:43Z	dse	1
2026-06-21T07:45Z	dse	2
2026-06-21T07:47Z	dse	1
2026-06-21T07:49Z	dse	2
2026-06-21T07:50Z	dse	2
2026-06-21T07:53Z	dse	1
2026-06-21T07:54Z	dse	1
2026-06-21T07:56Z	dse	1
2026-06-21T07:59Z	dse	1
2026-06-21T08:00Z	dse	2
2026-06-21T08:02Z	dse	1
2026-06-21T08:03Z	dse	1
2026-06-21T08:19Z	dse	1
2026-06-21T08:20Z	dse	3
2026-06-21T08:21Z	dse	1
2026-06-21T08:24Z	dse	1
2026-06-21T08:25Z	dse	3
2026-06-21T08:26Z	dse	1
2026-06-21T08:27Z	dse	2
2026-06-21T08:28Z	dse	1
2026-06-21T08:30Z	dse	1
2026-06-21T08:31Z	dse	3
2026-06-21T08:31Z	fractal	1
2026-06-21T08:32Z	dse	1
2026-06-21T08:37Z	dse	1
2026-06-21T08:38Z	dse	3
2026-06-21T08:45Z	dse	1
2026-06-21T08:48Z	dse	2
2026-06-21T08:50Z	dse	2
2026-06-21T08:58Z	dse	1
2026-06-21T09:01Z	dse	1
2026-06-21T09:02Z	dse	1
2026-06-21T09:03Z	dse	1
2026-06-21T09:04Z	dse	1
2026-06-21T09:05Z	dse	2
2026-06-21T09:06Z	dse	2
2026-06-21T09:07Z	dse	6
2026-06-21T09:08Z	dse	2
2026-06-21T09:09Z	dse	2
2026-06-21T09:10Z	dse	1
2026-06-21T09:13Z	dse	1
2026-06-21T09:14Z	dse	1
2026-06-21T09:15Z	dse	1
2026-06-21T09:15Z	fractal	1
2026-06-21T09:16Z	dse	2
2026-06-21T09:17Z	dse	2
2026-06-21T09:18Z	dse	2
2026-06-21T09:19Z	dse	1
2026-06-21T09:20Z	dse	2
2026-06-21T09:20Z	fractal	1
2026-06-21T09:25Z	dse	1
2026-06-21T09:28Z	dse	1
2026-06-21T09:30Z	dse	1
2026-06-21T09:32Z	dse	2
2026-06-21T09:33Z	dse	1
2026-06-21T09:34Z	dse	1
2026-06-21T09:36Z	dse	2
2026-06-21T09:38Z	dse	1
2026-06-21T09:39Z	dse	1
2026-06-21T09:41Z	dse	3
2026-06-21T09:42Z	dse	1
2026-06-21T09:43Z	dse	2
2026-06-21T09:46Z	dse	3
2026-06-21T09:47Z	dse	5
2026-06-21T09:48Z	dse	1
2026-06-21T09:53Z	dse	1
2026-06-21T09:55Z	dse	1
2026-06-21T09:56Z	dse	2
2026-06-21T09:57Z	dse	1
2026-06-21T09:58Z	dse	4
2026-06-21T09:59Z	dse	1
2026-06-21T10:00Z	dse	1
2026-06-21T10:04Z	dse	2
2026-06-21T10:06Z	dse	1
2026-06-21T10:07Z	dse	1
2026-06-21T10:10Z	dse	3
2026-06-21T10:13Z	dse	3
2026-06-21T10:14Z	dse	1
2026-06-21T10:15Z	dse	3
2026-06-21T10:16Z	dse	1
2026-06-21T10:19Z	dse	1
2026-06-21T10:20Z	dse	1
2026-06-21T10:21Z	dse	4
2026-06-21T10:22Z	dse	1
2026-06-21T10:23Z	dse	2
2026-06-21T10:24Z	dse	1
2026-06-21T10:32Z	dse	1
2026-06-21T10:33Z	dse	1
2026-06-21T10:34Z	dse	2
2026-06-21T10:35Z	dse	3
2026-06-21T10:37Z	dse	3
2026-06-21T10:39Z	dse	2
2026-06-21T10:41Z	dse	1
2026-06-21T10:43Z	dse	1
2026-06-21T10:44Z	dse	1
2026-06-21T10:45Z	dse	3
2026-06-21T10:46Z	dse	1
2026-06-21T10:47Z	dse	1
2026-06-21T10:48Z	dse	2
2026-06-21T10:53Z	dse	1
2026-06-21T10:54Z	dse	1
2026-06-21T10:57Z	dse	2
2026-06-21T10:58Z	dse	2
2026-06-21T10:59Z	dse	2
2026-06-21T11:00Z	dse	4
2026-06-21T11:01Z	dse	1
2026-06-21T11:02Z	dse	1
2026-06-21T11:04Z	dse	1
2026-06-21T11:05Z	dse	1
2026-06-21T11:06Z	dse	2
2026-06-21T11:07Z	dse	1
2026-06-21T11:08Z	dse	1
2026-06-21T11:09Z	dse	3
2026-06-21T11:10Z	dse	1
2026-06-21T11:12Z	dse	1
2026-06-21T11:15Z	dse	2
2026-06-21T11:16Z	dse	1
2026-06-21T11:17Z	dse	2
2026-06-21T11:18Z	dse	4
2026-06-21T11:19Z	dse	2
2026-06-21T11:20Z	dse	1
2026-06-21T11:23Z	dse	2
2026-06-21T11:24Z	dse	1
2026-06-21T11:25Z	dse	1
2026-06-21T11:26Z	dse	1
2026-06-21T11:27Z	dse	1
2026-06-21T11:28Z	dse	2
2026-06-21T11:30Z	dse	2
2026-06-21T11:32Z	dse	3
2026-06-21T11:33Z	dse	1
2026-06-21T11:34Z	dse	1
2026-06-21T11:35Z	dse	1
2026-06-21T11:37Z	dse	1
2026-06-21T11:38Z	dse	1
2026-06-21T11:40Z	dse	1
2026-06-21T11:41Z	dse	1
2026-06-21T11:43Z	dse	1
2026-06-21T11:46Z	dse	1
2026-06-21T11:48Z	dse	1
2026-06-21T11:49Z	dse	1
2026-06-21T11:50Z	dse	1
2026-06-21T11:52Z	dse	1
2026-06-21T11:54Z	dse	1
2026-06-21T12:00Z	dse	1
2026-06-21T12:03Z	dse	1
2026-06-21T12:04Z	dse	1
2026-06-21T12:06Z	dse	1
2026-06-21T12:10Z	dse	2
2026-06-21T12:13Z	dse	1
2026-06-21T12:15Z	dse	1
2026-06-21T12:17Z	dse	1
2026-06-21T12:19Z	dse	1
2026-06-21T12:22Z	dse	1
2026-06-21T12:29Z	dse	1
2026-06-21T12:31Z	dse	1
2026-06-21T12:35Z	dse	2
2026-06-21T12:36Z	dse	3
2026-06-21T12:37Z	dse	2
2026-06-21T12:38Z	dse	1
2026-06-21T12:39Z	dse	1
2026-06-21T12:40Z	dse	2
2026-06-21T12:41Z	dse	1
2026-06-21T12:44Z	dse	1
2026-06-21T12:46Z	dse	1
2026-06-21T12:47Z	dse	1
2026-06-21T12:48Z	dse	3
2026-06-21T12:49Z	dse	2
2026-06-21T12:50Z	dse	1
2026-06-21T12:51Z	dse	1
2026-06-21T12:54Z	dse	2
2026-06-21T12:56Z	dse	1
2026-06-21T12:57Z	dse	1
2026-06-21T12:58Z	dse	4
2026-06-21T12:59Z	dse	9
2026-06-21T13:00Z	dse	3
2026-06-21T13:05Z	dse	2
2026-06-21T13:07Z	dse	1
2026-06-21T13:08Z	dse	1
2026-06-21T13:09Z	dse	1
2026-06-21T13:12Z	dse	1
2026-06-21T13:15Z	dse	1
2026-06-21T13:16Z	dse	1
2026-06-21T13:17Z	dse	1
2026-06-21T13:18Z	dse	1
2026-06-21T13:21Z	dse	1
2026-06-21T13:24Z	dse	1
2026-06-21T13:25Z	dse	2
2026-06-21T13:28Z	dse	1
2026-06-21T13:31Z	dse	1
2026-06-21T13:32Z	dse	1
2026-06-21T13:34Z	dse	1
2026-06-21T13:38Z	dse	1
2026-06-21T13:43Z	dse	1
2026-06-21T13:46Z	dse	2
2026-06-21T13:48Z	dse	4
2026-06-21T13:49Z	dse	1
2026-06-21T13:53Z	dse	1
2026-06-21T13:54Z	dse	1
2026-06-21T13:56Z	dse	1
2026-06-21T14:02Z	dse	2
2026-06-21T14:04Z	dse	1
2026-06-21T14:05Z	dse	1
2026-06-21T14:06Z	dse	1
2026-06-21T14:07Z	dse	1
2026-06-21T14:08Z	dse	2
2026-06-21T14:08Z	wiki4d	1
2026-06-21T14:10Z	dse	1
2026-06-21T14:11Z	dse	2
2026-06-21T14:12Z	dse	1
2026-06-21T14:15Z	dse	1
2026-06-21T14:16Z	dse	1
2026-06-21T14:18Z	dse	1
2026-06-21T14:19Z	dse	1
2026-06-21T14:20Z	dse	2
2026-06-21T14:21Z	dse	1
2026-06-21T14:22Z	dse	2
2026-06-21T14:24Z	dse	1
2026-06-21T14:26Z	dse	1
2026-06-21T14:30Z	dse	1
2026-06-21T14:31Z	dse	1
2026-06-21T14:32Z	dse	1
2026-06-21T14:34Z	dse	2
2026-06-21T14:37Z	dse	1
2026-06-21T14:40Z	dse	1
2026-06-21T14:42Z	wiki4d	1
2026-06-21T14:47Z	dse	1
2026-06-21T14:48Z	dse	1
2026-06-21T14:48Z	wiki4d	1
2026-06-21T14:49Z	dse	1
2026-06-21T14:51Z	wiki4d	1
2026-06-21T14:53Z	dse	1
2026-06-21T14:54Z	dse	1
2026-06-21T14:55Z	dse	1
2026-06-21T15:06Z	dse	1
2026-06-21T15:09Z	dse	1
2026-06-21T15:11Z	wiki4d	1
2026-06-21T15:12Z	dse	1
2026-06-21T15:13Z	dse	1
2026-06-21T15:20Z	dse	1
2026-06-21T15:23Z	dse	1
2026-06-21T15:23Z	wiki4d	1
2026-06-21T15:26Z	wiki4d	1
2026-06-21T15:28Z	wiki4d	1
2026-06-21T15:30Z	dse	1
2026-06-21T15:35Z	dse	1
2026-06-21T15:36Z	dse	1
2026-06-21T15:37Z	dse	1
2026-06-21T15:40Z	dse	1
2026-06-21T15:41Z	dse	1
2026-06-21T15:53Z	dse	1
2026-06-21T15:55Z	dse	1
2026-06-21T15:56Z	dse	1
2026-06-21T15:58Z	dse	1
2026-06-21T16:04Z	dse	2
2026-06-21T16:11Z	dse	1
2026-06-21T16:14Z	dse	1
2026-06-21T16:16Z	dse	1
2026-06-21T16:17Z	dse	1
2026-06-21T16:18Z	dse	1
2026-06-21T16:19Z	dse	1
2026-06-21T16:24Z	dse	1
2026-06-21T16:25Z	dse	1
2026-06-21T16:26Z	dse	1
2026-06-21T16:47Z	dse	1
2026-06-21T16:49Z	dse	1
2026-06-21T16:54Z	dse	1
2026-06-21T16:58Z	dse	1
2026-06-21T17:00Z	dse	1
2026-06-21T17:01Z	dse	1
2026-06-21T17:05Z	dse	1
2026-06-21T17:17Z	dse	1
2026-06-21T17:19Z	dse	1
2026-06-21T17:20Z	dse	1
2026-06-21T17:27Z	dse	1
2026-06-21T17:31Z	dse	1
2026-06-21T17:33Z	dse	1
2026-06-21T17:43Z	dse	1
2026-06-21T17:48Z	dse	1
2026-06-21T17:50Z	dse	1
2026-06-21T17:55Z	dse	1
2026-06-21T17:58Z	dse	1
2026-06-21T18:06Z	fractal	1
2026-06-21T18:07Z	dse	2
2026-06-21T18:08Z	fractal	1
2026-06-21T18:10Z	fractal	1
2026-06-21T18:12Z	dse	1
2026-06-21T18:13Z	dse	1
2026-06-21T18:14Z	dse	1
2026-06-21T18:16Z	dse	1
2026-06-21T18:20Z	dse	1
2026-06-21T18:23Z	probier	1
2026-06-21T18:25Z	dse	2
2026-06-21T18:26Z	dse	2
2026-06-21T18:27Z	dse	1
2026-06-21T18:28Z	dse	1
2026-06-21T18:29Z	fractal	1
2026-06-21T18:30Z	dse	1
2026-06-21T18:31Z	dse	1
2026-06-21T18:33Z	dse	1
2026-06-21T18:34Z	fractal	1
2026-06-21T18:36Z	dse	4
2026-06-21T18:38Z	fractal	1
2026-06-21T18:41Z	dse	1
2026-06-21T18:44Z	dse	1
2026-06-21T18:44Z	probier	1
2026-06-21T18:45Z	dse	1
2026-06-21T18:46Z	dse	1
2026-06-21T18:47Z	fractal	1
2026-06-21T18:48Z	dse	1
2026-06-21T18:49Z	dse	1
2026-06-21T18:54Z	dse	2
2026-06-21T18:56Z	dse	1
2026-06-21T18:59Z	dse	1
2026-06-21T19:01Z	dse	1
2026-06-21T19:03Z	dse	1
2026-06-21T19:03Z	probier	1
2026-06-21T19:06Z	fractal	1
2026-06-21T19:09Z	dse	1
2026-06-21T19:15Z	dse	1
2026-06-21T19:18Z	dse	2
2026-06-21T19:19Z	dse	2
2026-06-21T19:20Z	dse	1
2026-06-21T19:21Z	fractal	1
2026-06-21T19:21Z	probier	1
2026-06-21T19:22Z	dse	1
2026-06-21T19:23Z	dse	2
2026-06-21T19:24Z	dse	1
2026-06-21T19:25Z	dse	1
2026-06-21T19:27Z	dse	1
2026-06-21T19:28Z	dse	1
2026-06-21T19:32Z	dse	1
2026-06-21T19:35Z	dse	1
2026-06-21T19:37Z	dse	1
2026-06-21T19:38Z	dse	2
2026-06-21T19:40Z	dse	2
2026-06-21T19:41Z	fractal	1
2026-06-21T19:42Z	dse	2
2026-06-21T19:44Z	fractal	1
2026-06-21T19:45Z	dse	3
2026-06-21T19:46Z	dse	1
2026-06-21T19:48Z	dse	4
2026-06-21T19:50Z	dse	1
2026-06-21T19:53Z	dse	1
2026-06-21T19:54Z	fractal	1
2026-06-21T19:57Z	fractal	1
2026-06-21T20:01Z	dse	1
2026-06-21T20:04Z	dse	1
2026-06-21T20:08Z	dse	1
2026-06-21T20:10Z	dse	1
2026-06-21T20:13Z	dse	1
2026-06-21T20:15Z	dse	1
2026-06-21T20:17Z	dse	1
2026-06-21T20:19Z	dse	1
2026-06-21T20:20Z	dse	1
2026-06-21T20:21Z	dse	2
2026-06-21T20:24Z	dse	1
2026-06-21T20:25Z	dse	1
2026-06-21T20:27Z	dse	1
2026-06-21T20:28Z	dse	3
2026-06-21T20:29Z	dse	1
2026-06-21T20:29Z	probier	1
2026-06-21T20:30Z	dse	1
2026-06-21T20:32Z	dse	2
2026-06-21T20:33Z	dse	1
2026-06-21T20:34Z	dse	1
2026-06-21T20:36Z	dse	2
2026-06-21T20:37Z	dse	1
2026-06-21T20:38Z	dse	2
2026-06-21T20:39Z	dse	1
2026-06-21T20:40Z	dse	1
2026-06-21T20:41Z	dse	3
2026-06-21T20:42Z	dse	2
2026-06-21T20:44Z	dse	3
2026-06-21T20:45Z	dse	3
2026-06-21T20:47Z	dse	1
2026-06-21T20:48Z	dse	2
2026-06-21T20:50Z	dse	1
2026-06-21T20:51Z	dse	1
2026-06-21T20:57Z	dse	1
2026-06-21T20:59Z	dse	1
2026-06-21T21:00Z	dse	1
2026-06-21T21:01Z	dse	1
2026-06-21T21:03Z	dse	2
2026-06-21T21:04Z	dse	1
2026-06-21T21:05Z	dse	1
2026-06-21T21:06Z	dse	1
2026-06-21T21:07Z	dse	2
2026-06-21T21:09Z	dse	2
2026-06-21T21:10Z	dse	2
2026-06-21T21:13Z	dse	1
2026-06-21T21:14Z	dse	2
2026-06-21T21:14Z	probier	1
2026-06-21T21:15Z	dse	2
2026-06-21T21:16Z	dse	1
2026-06-21T21:18Z	dse	1
2026-06-21T21:19Z	dse	2
2026-06-21T21:19Z	probier	1
2026-06-21T21:20Z	dse	2
2026-06-21T21:21Z	dse	2
2026-06-21T21:22Z	dse	3
2026-06-21T21:23Z	dse	1
2026-06-21T21:23Z	probier	1
2026-06-21T21:24Z	dse	1
2026-06-21T21:26Z	dse	2
2026-06-21T21:29Z	dse	1
2026-06-21T21:30Z	dse	1
2026-06-21T21:31Z	dse	1
2026-06-21T21:34Z	dse	1
2026-06-21T21:39Z	dse	1
2026-06-21T21:41Z	probier	1
2026-06-21T21:44Z	dse	1
2026-06-21T21:45Z	dse	1
2026-06-21T21:47Z	dse	1
2026-06-21T21:48Z	probier	1
2026-06-21T21:49Z	dse	2
2026-06-21T21:54Z	dse	2
2026-06-21T21:55Z	dse	1
2026-06-21T21:56Z	dse	1
2026-06-21T21:59Z	dse	1
2026-06-21T22:02Z	dse	1
2026-06-21T22:03Z	dse	1
2026-06-21T22:06Z	dse	2
2026-06-21T22:08Z	dse	2
2026-06-21T22:13Z	dse	1
2026-06-21T22:15Z	dse	1
2026-06-21T22:18Z	dse	1
2026-06-21T22:20Z	dse	1
2026-06-21T22:21Z	probier	1
2026-06-21T22:22Z	dse	2
2026-06-21T22:23Z	dse	1
2026-06-21T22:24Z	dse	1
2026-06-21T22:27Z	dse	1
2026-06-21T22:29Z	dse	1
2026-06-21T22:29Z	fractal	1
2026-06-21T22:30Z	dse	1
2026-06-21T22:32Z	dse	1
2026-06-21T22:33Z	dse	1
2026-06-21T22:45Z	dse	1
2026-06-21T22:51Z	dse	1
2026-06-21T22:52Z	dse	1
2026-06-21T22:55Z	dse	2
2026-06-21T22:56Z	dse	3
2026-06-21T22:57Z	dse	6
2026-06-21T22:58Z	dse	1
2026-06-21T22:59Z	dse	2
2026-06-21T23:00Z	dse	1
2026-06-21T23:01Z	dse	1
2026-06-21T23:03Z	dse	1
2026-06-21T23:04Z	dse	1
2026-06-21T23:05Z	dse	1
2026-06-21T23:12Z	dse	1
2026-06-21T23:13Z	dse	1
2026-06-21T23:15Z	dse	1
2026-06-21T23:23Z	dse	1
2026-06-21T23:25Z	dse	1
2026-06-21T23:30Z	dse	3
2026-06-21T23:31Z	dse	1
2026-06-21T23:33Z	dse	1
2026-06-21T23:35Z	dse	1
2026-06-21T23:37Z	dse	1
2026-06-21T23:40Z	dse	1
2026-06-21T23:42Z	dse	1
2026-06-21T23:47Z	dse	1
2026-06-21T23:49Z	dse	1
2026-06-21T23:52Z	dse	1
2026-06-21T23:54Z	dse	1
2026-06-21T23:59Z	dse	1
2026-06-22T00:08Z	dse	1
2026-06-22T00:09Z	dse	1
2026-06-22T00:15Z	dse	1
2026-06-22T00:23Z	dse	1
2026-06-22T00:47Z	dse	3
2026-06-22T00:48Z	dse	2
2026-06-22T00:49Z	dse	2
2026-06-22T00:50Z	dse	4
2026-06-22T00:51Z	dse	3
2026-06-22T00:52Z	dse	4
2026-06-22T00:52Z	fractal	1
2026-06-22T00:53Z	dse	2
2026-06-22T00:54Z	dse	2
2026-06-22T00:55Z	dse	3
2026-06-22T00:56Z	fractal	3
2026-06-22T00:57Z	dse	1
2026-06-22T00:57Z	fractal	1
2026-06-22T00:59Z	dse	2
2026-06-22T00:59Z	fractal	2
2026-06-22T01:00Z	dse	5
2026-06-22T01:01Z	dse	2
2026-06-22T01:02Z	dse	1
2026-06-22T01:02Z	fractal	1
2026-06-22T01:03Z	dse	2
2026-06-22T01:04Z	dse	3
2026-06-22T01:05Z	dse	1
2026-06-22T01:05Z	fractal	1
2026-06-22T01:06Z	dse	1
2026-06-22T01:09Z	dse	1
2026-06-22T01:09Z	fractal	1
2026-06-22T01:10Z	dse	1
2026-06-22T01:10Z	fractal	1
2026-06-22T01:12Z	dse	3
2026-06-22T01:14Z	dse	1
2026-06-22T01:15Z	dse	2
2026-06-22T01:16Z	dse	3
2026-06-22T01:17Z	dse	1
2026-06-22T01:18Z	dse	1
2026-06-22T01:19Z	dse	2
2026-06-22T01:20Z	dse	1
2026-06-22T01:22Z	dse	1
2026-06-22T01:23Z	dse	1
2026-06-22T01:26Z	dse	2
2026-06-22T01:27Z	dse	2
2026-06-22T01:28Z	dse	3
2026-06-22T01:29Z	dse	1
2026-06-22T01:30Z	dse	1
2026-06-22T01:36Z	dse	1
2026-06-22T01:37Z	dse	1
2026-06-22T01:38Z	dse	1
2026-06-22T01:39Z	dse	2
2026-06-22T01:40Z	dse	1
2026-06-22T02:02Z	dse	1
2026-06-22T02:15Z	dse	1
2026-06-22T02:16Z	dse	1
2026-06-22T02:21Z	probier	1
2026-06-22T02:34Z	probier	1
2026-06-22T02:35Z	probier	2
2026-06-22T02:36Z	probier	1
2026-06-22T02:37Z	probier	2
2026-06-22T02:38Z	probier	3
2026-06-22T02:39Z	probier	3
2026-06-22T02:41Z	probier	2
2026-06-22T02:43Z	probier	1
2026-06-22T02:44Z	probier	2
2026-06-22T02:46Z	probier	1
2026-06-22T02:47Z	probier	2
2026-06-22T02:49Z	dse	1
2026-06-22T02:49Z	probier	3
2026-06-22T02:50Z	probier	2
2026-06-22T02:51Z	dse	1
2026-06-22T02:53Z	probier	1
2026-06-22T02:54Z	probier	1
2026-06-22T02:58Z	probier	1
2026-06-22T03:04Z	probier	2
2026-06-22T03:08Z	probier	1
2026-06-22T03:10Z	probier	1
2026-06-22T03:12Z	dse	1
2026-06-22T03:13Z	dse	1
2026-06-22T03:13Z	probier	1
2026-06-22T03:14Z	dse	1
2026-06-22T03:15Z	dse	3
2026-06-22T03:17Z	dse	2
2026-06-22T03:18Z	dse	9
2026-06-22T03:19Z	dse	1
2026-06-22T03:20Z	dse	2
2026-06-22T03:20Z	probier	1
2026-06-22T03:21Z	dse	2
2026-06-22T03:22Z	dse	2
2026-06-22T03:23Z	dse	2
2026-06-22T03:24Z	dse	3
2026-06-22T03:25Z	dse	3
2026-06-22T03:26Z	dse	4
2026-06-22T03:27Z	dse	1
2026-06-22T03:27Z	fractal	1
2026-06-22T03:28Z	dse	3
2026-06-22T03:28Z	fractal	1
2026-06-22T03:29Z	dse	6
2026-06-22T03:29Z	fractal	3
2026-06-22T03:30Z	dse	7
2026-06-22T03:31Z	dse	13
2026-06-22T03:31Z	fractal	2
2026-06-22T03:32Z	dse	6
2026-06-22T03:32Z	fractal	14
2026-06-22T03:33Z	dse	9
2026-06-22T03:33Z	fractal	9
2026-06-22T03:34Z	dse	11
2026-06-22T03:34Z	fractal	3
2026-06-22T03:35Z	dse	20
2026-06-22T03:35Z	fractal	5
2026-06-22T03:36Z	dse	7
2026-06-22T03:36Z	fractal	5
2026-06-22T03:37Z	dse	14
2026-06-22T03:37Z	fractal	2
2026-06-22T03:38Z	dse	15
2026-06-22T03:38Z	fractal	12
2026-06-22T03:39Z	dse	18
2026-06-22T03:39Z	fractal	8
2026-06-22T03:40Z	dse	18
2026-06-22T03:40Z	fractal	7
2026-06-22T03:41Z	dse	19
2026-06-22T03:41Z	fractal	7
2026-06-22T03:42Z	dse	10
2026-06-22T03:42Z	fractal	7
2026-06-22T03:43Z	dse	7
2026-06-22T03:43Z	fractal	7
2026-06-22T03:44Z	dse	6
2026-06-22T03:44Z	fractal	6
2026-06-22T03:45Z	dse	4
2026-06-22T03:45Z	fractal	4
2026-06-22T03:46Z	dse	6
2026-06-22T03:46Z	fractal	6
2026-06-22T03:47Z	dse	7
2026-06-22T03:47Z	fractal	9
2026-06-22T03:48Z	dse	3
2026-06-22T03:48Z	fractal	2
2026-06-22T03:49Z	dse	5
2026-06-22T03:49Z	fractal	1
2026-06-22T03:50Z	dse	9
2026-06-22T03:50Z	fractal	3
2026-06-22T03:51Z	dse	6
2026-06-22T03:51Z	fractal	3
2026-06-22T03:52Z	dse	9
2026-06-22T03:52Z	fractal	2
2026-06-22T03:53Z	dse	8
2026-06-22T03:53Z	fractal	2
2026-06-22T03:54Z	dse	10
2026-06-22T03:54Z	fractal	1
2026-06-22T03:55Z	dse	7
2026-06-22T03:55Z	fractal	2
2026-06-22T03:56Z	dse	8
2026-06-22T03:56Z	fractal	2
2026-06-22T03:57Z	dse	8
2026-06-22T03:57Z	fractal	2
2026-06-22T03:58Z	dse	2
2026-06-22T03:58Z	fractal	2
2026-06-22T03:59Z	dse	6
2026-06-22T03:59Z	fractal	1
2026-06-22T04:00Z	dse	8
2026-06-22T04:00Z	fractal	3
2026-06-22T04:01Z	dse	5
2026-06-22T04:01Z	fractal	1
2026-06-22T04:02Z	dse	4
2026-06-22T04:02Z	fractal	2
2026-06-22T04:03Z	dse	1
2026-06-22T04:03Z	fractal	1
2026-06-22T04:04Z	dse	3
2026-06-22T04:05Z	dse	2
2026-06-22T04:07Z	fractal	1
2026-06-22T04:08Z	dse	1
2026-06-22T04:09Z	dse	1
2026-06-22T04:11Z	fractal	1
2026-06-22T04:12Z	dse	1
2026-06-22T04:12Z	fractal	1
2026-06-22T04:13Z	dse	2
2026-06-22T04:14Z	dse	1
2026-06-22T04:14Z	texteditors	1
2026-06-22T04:15Z	dse	3
2026-06-22T04:16Z	dse	2
2026-06-22T04:16Z	fractal	1
2026-06-22T04:18Z	dse	1
2026-06-22T04:19Z	dse	3
2026-06-22T04:20Z	dse	2
2026-06-22T04:22Z	dse	1
2026-06-22T04:24Z	dse	4
2026-06-22T04:26Z	dse	1
2026-06-22T04:34Z	texteditors	1
2026-06-22T04:39Z	texteditors	1
2026-06-22T04:49Z	dse	1
2026-06-22T06:01Z	texteditors	1
2026-06-22T06:48Z	probier	3
2026-06-22T06:59Z	probier	1
2026-06-22T07:00Z	probier	1
2026-06-22T07:01Z	probier	1
2026-06-22T07:18Z	dse	3
2026-06-22T07:19Z	dse	1
2026-06-22T07:20Z	dse	1
2026-06-22T07:21Z	dse	1
2026-06-22T07:22Z	dse	1
2026-06-22T07:26Z	dse	2
2026-06-22T07:30Z	dse	1
