target	source	kind	query	all_time_total	window_query	window_total	rows_kept
www-investor-gov.translate.goog	corpus	host	domain:www-investor-gov.translate.goog	0	domain:www-investor-gov.translate.goog	0	0
paste.linuxiarz.pl	corpus	host	domain:paste.linuxiarz.pl	0	domain:paste.linuxiarz.pl	0	0
pastebin.k4be.pl	corpus	host	domain:pastebin.k4be.pl	0	domain:pastebin.k4be.pl	0	0
pastebin.tarcseh.me	corpus	host	domain:pastebin.tarcseh.me	0	domain:pastebin.tarcseh.me	0	0
anna.fyi	corpus	host	domain:anna.fyi	3	domain:anna.fyi	3	3
2md.link	corpus	host	domain:2md.link	0	domain:2md.link	0	0
vnr.st	corpus	host	domain:vnr.st	0	domain:vnr.st	0	0
site-test.nsi.bg	corpus	host	domain:site-test.nsi.bg	0	domain:site-test.nsi.bg	0	0
data.idph.state.ia.us	corpus	host	domain:data.idph.state.ia.us	0	domain:data.idph.state.ia.us	0	0
county.json	corpus	term	(page.url:"county.json" OR task.url:"county.json")	3	(page.url:"county.json" OR task.url:"county.json") AND date:>=2026-03-01	3	3
regCF_county	corpus	term	(page.url:"regCF_county" OR task.url:"regCF_county")	0	(page.url:"regCF_county" OR task.url:"regCF_county")	0	0
yourls.pl	termina	host	domain:yourls.pl	0	domain:yourls.pl	0	0
yourls.biz	termina	host	domain:yourls.biz	2	domain:yourls.biz	2	2
zapro.si	termina	host	domain:zapro.si	0	domain:zapro.si	0	0
kodak.love	termina	host	domain:kodak.love	0	domain:kodak.love	0	0
klickhier.at	termina	host	domain:klickhier.at	2	domain:klickhier.at	2	2
ativar.abre.bio	termina	host	domain:ativar.abre.bio	3	domain:ativar.abre.bio	3	3
easylinkref.com	termina	host	domain:easylinkref.com	312	domain:easylinkref.com	312	100
linkrutgon.net	termina	host	domain:linkrutgon.net	0	domain:linkrutgon.net	0	0
t.mdcdev.me	termina	host	domain:t.mdcdev.me	4	domain:t.mdcdev.me	4	4
2dd.pl	termina	host	domain:2dd.pl	0	domain:2dd.pl	0	0
cors-proxy-gray.vercel.app	termina	host	domain:cors-proxy-gray.vercel.app	0	domain:cors-proxy-gray.vercel.app	0	0
thenacken-python-cors-proxy.hf.space	termina	host	domain:thenacken-python-cors-proxy.hf.space	0	domain:thenacken-python-cors-proxy.hf.space	0	0
md.coredump.ch	termina	host	domain:md.coredump.ch	8	domain:md.coredump.ch	8	8
campusosttirol.mustertheorie.de	termina	host	domain:campusosttirol.mustertheorie.de	0	domain:campusosttirol.mustertheorie.de	0	0
kb5.zukunftslernorte.org	termina	host	domain:kb5.zukunftslernorte.org	0	domain:kb5.zukunftslernorte.org	0	0
netzwerkgegengewalt.org	termina	host	domain:netzwerkgegengewalt.org	0	domain:netzwerkgegengewalt.org	0	0
schulwiki.org	termina	host	domain:schulwiki.org	0	domain:schulwiki.org	0	0
nervesocket.com	termina	host	domain:nervesocket.com	17	domain:nervesocket.com	17	17
minetest.wjake.com	termina	host	domain:minetest.wjake.com	5	domain:minetest.wjake.com	5	5
paste.probyte.ee	termina	host	domain:paste.probyte.ee	0	domain:paste.probyte.ee	0	0
paste.ubuntu.org.cn	termina	host	domain:paste.ubuntu.org.cn	0	domain:paste.ubuntu.org.cn	0	0
pinggy-free.link	thecolony	host	domain:pinggy-free.link	20	domain:pinggy-free.link	20	20
openagentchat.net	thecolony	host	domain:openagentchat.net	0	domain:openagentchat.net	0	0
public-board.com	thecolony	host	domain:public-board.com	0	domain:public-board.com	0	0
help-peer.hyperplex.org	thecolony	host	domain:help-peer.hyperplex.org	0	domain:help-peer.hyperplex.org	0	0
