probe                                            label                    hits crawled    canonical_url
p51_query_percent_encoded_key                    B_encoded_key               0 today      …/r1789841073_p51?foo=1

p52_immediate_after_seed_change                  A_first                     1 today      …/r1789841073_p52
p52_immediate_after_seed_change                  B_after_change              0 today      …/r1789841073_p52
p52_immediate_after_seed_change                  C_after_change_again        0 today      …/r1789841073_p52

p60_three_param_sort                             A_cab                       1 today      …/r1789841346_p60?a=1&b=2&c=3
p60_three_param_sort                             B_abc                       0 today      …/r1789841346_p60?a=1&b=2&c=3
p60_three_param_sort                             C_bca                       0 today      …/r1789841346_p60?a=1&b=2&c=3

p61_swapped_values                               A_xa_yb                     1 today      …/r1789841346_p61?x=A&y=B
p61_swapped_values                               B_xb_ya                     1 today      …/r1789841346_p61?x=B&y=A

p62_percent_hash_in_query                        A_encoded_hash              1 today      …/r1789841346_p62?a=1%23foo
p62_percent_hash_in_query                        B_real_fragment             1 today      …/r1789841346_p62?a=1

p63_brackets_in_query                            A_literal_brackets          0 -          …/r1789841346_p63?q[]=1
p63_brackets_in_query                            B_encoded_brackets          1 today      …/r1789841346_p63?q%5B%5D=1

p64_encoded_reserved_query                       A_encoded_amp               1 today      …/r1789841346_p64?a=b%26c%3Dd
p64_encoded_reserved_query                       B_literal_amp_two_params    1 today      …/r1789841346_p64?a=b&c=d

p65_url_encoded_reserved_percent2f_in_query      A_encoded_slash_q           1 today      …/r1789841346_p65?path=a%2Fb
p65_url_encoded_reserved_percent2f_in_query      B_literal_slash_q           0 today      …/r1789841346_p65?path=a%2Fb

p66_http_scheme                                  A_https                     1 today      …/r1789841346_p66
p66_http_scheme                                  B_http                      0 today      …/r1789841346_p66

p67_wrong_port_ignored                           A_default                   1 today      …/r1789841346_p67
p67_wrong_port_ignored                           B_port_80                   0 -          …:80/r1789841346_p67

p68_two_hash_symbols                             A_double_hash               1 today      …/r1789841346_p68
p68_two_hash_symbols                             B_bare                      0 today      …/r1789841346_p68

p69_key_order_case_mix                           A_Ab                        1 today      …/r1789841346_p69?A=1&b=2
p69_key_order_case_mix                           B_bA                        0 today      …/r1789841346_p69?A=1&b=2

p70_case_sensitive_sort                          A_Ba                        1 today      …/r1789841458_p70?B=1&a=2
p70_case_sensitive_sort                          B_aB                        0 today      …/r1789841458_p70?B=1&a=2

p71_http_first_then_https                        A_http                      1 today      …/r1789841458_p71
p71_http_first_then_https                        B_https                     0 today      …/r1789841458_p71

p72_www_prefix                                   A_bare                      1 today      …/r1789841458_p72
p72_www_prefix                                   B_www                       0 -          https://www.oai-scratchpad-cache-versioning-demo.ngrok.io/r1789841458_p72

p73_uppercase_percent                            A_uppercase_hex             1 today      …/r1789841458_p73?q=%2F
p73_uppercase_percent                            B_lowercase_hex             0 today      …/r1789841458_p73?q=%2F

p74_query_no_value_no_eq_vs_absent               A_a_bare                    1 today      …/r1789841458_p74?a=
p74_query_no_value_no_eq_vs_absent               B_a_eq                      0 today      …/r1789841458_p74?a=
p74_query_no_value_no_eq_vs_absent               C_a_eq_1                    1 today      …/r1789841458_p74?a=1

p75_trailing_amp                                 A_no_amp                    1 today      …/r1789841458_p75?a=1
p75_trailing_amp                                 B_trailing_amp              0 today      …/r1789841458_p75?a=1

p80_error_response_cached                        A_seeded                    1 today      …/r1789841601_p80
p80_error_response_cached                        B_same                      0 today      …/r1789841601_p80

p81_multi_dup_same_key_3vals                     A_312                       1 today      …/r1789841601_p81?a=1&a=2&a=3
p81_multi_dup_same_key_3vals                     B_132                       0 today      …/r1789841601_p81?a=1&a=2&a=3

p82_utf8_percent_encoded_value                   A_encoded_cafe              1 today      …/r1789841601_p82?q=caf%C3%A9
p82_utf8_percent_encoded_value                   B_literal_cafe              0 -          …/r1789841601_p82?q=café

p90_status_404_cached                            A_404_first                 1 -          …/r1789842208_p90?respond-status=404
p90_status_404_cached                            B_404_repeat                0 -          …/r1789842208_p90?respond-status=404

p91_status_500_cached                            A_500_first                 4 -          …/r1789842208_p91?respond-status=500
p91_status_500_cached                            B_500_repeat                0 -          …/r1789842208_p91?respond-status=500

p92_redirect_cache_scope                         A_fetch_source              2 today      …/r1789842208_p92_src?respond-redirect=%2Fr1789842208_p92_target
p92_redirect_cache_scope                         B_refetch_source            0 today      …/r1789842208_p92_src?respond-redirect=%2Fr1789842208_p92_target
p92_redirect_cache_scope                         C_fetch_target_directly     1 today      …/r1789842208_p92_target
