base_host	tier_a_rows	distinct_urls	active_days	first	last	top_wrappers	base_host_in_corpus	base_host_known_to_termina	urls_already_in_corpus	sample_url
lookerstudio.google.com	23	7	3	2026-05-10 18:45	2026-05-14 06:10	api.microlink.io (23)	no	no	0	api.microlink.io/?url=https%3A%2F%2Flookerstudio.google.com%2Freporting%2Fbeb9619f-674c-4512-92e4-541e6ff5b1ab%2Fpage%2FpYB6B%26function%3D%28%7Bpage%7D%29%3D%3Epage.evaluate%28%22document.body.innerText%22%29
is.gd	17	12	5	2026-05-12 23:05	2026-06-21 21:05	markdown.new (11); (none) (6)	yes	yes	0	markdown.new/https://is.gd/4kY5L3
statista.com	16	8	3	2026-05-16 22:57	2026-05-18 06:43	markdown.microlink.io (9); api.microlink.io (3); text.microlink.io (3)	no	no	0	api.microlink.io/?url=https%3A%2F%2Fwww.statista.com%2Fchart%2F31336%2Fpopular-buy-now-pay-later-providers-in-the-us%2F&data.content.attr=markdown&meta=true
microlink.io	15	1	1	2026-05-13 23:23	2026-05-13 23:28	api.microlink.io (15)	no	no	0	api.microlink.io/?embed=image.url&url=https%3A%2F%2Fmicrolink.io
smilefm.co.za	15	10	2	2026-05-20 22:47	2026-05-21 15:23	markdown.new (5); markdown.microlink.io (4); text.microlink.io (2)	no	no	0	markdown.microlink.io/https://smilefm.co.za/festive-lights-switch-on-weekend-road-closures/
preservinglocalhistory.recollectcms.com	15	1	1	2026-05-23 10:55	2026-05-23 23:12	markdown.new (15)	no	no	0	markdown.new/preservinglocalhistory.recollectcms.com/nodes/gettxt/OCR/299252
api.microlink.io	14	5	5	2026-05-11 08:17	2026-05-20 22:30	api.microlink.io (14)	yes	yes	0	api.microlink.io/
img.newspapers.com	11	5	3	2026-05-13 13:18	2026-05-15 14:58	markdown.new (8); cors.io (3)	no	no	0	markdown.new/img.newspapers.com/img/thumbnail/587043223/400/50/293_1580_700_100.jpg
airtable.com	11	6	1	2026-05-26 15:30	2026-05-26 19:45	md.succ.ai (11)	no	no	0	md.succ.ai/http://airtable.com/shrMLVqYbqJ5nOxel
example.net	10	2	2	2026-06-18 18:02	2026-06-19 18:14	api.microlink.io (9); allorigins.hexlet.app (1)	yes	no	0	allorigins.hexlet.app/raw?url=https%3A%2F%2Fexample.net
