host	roles	tier_a_rows	first	last	sources	sample_url
eurogamer.net	base,page	126	2026-05-18 11:47	2026-05-19 13:08	urlquery	arquivo.pt//wayback/20240127052517id_/https://www.eurogamer.net/our-personal-top-five-games-of-2023
htmlpreview.github.io	base,page	112	2026-05-11 23:58	2026-05-13 09:15	urlquery	htmlpreview.github.io/?https://paste.rs/Y0xxW
html.microlink.io	page,wrapper	100	2026-05-11 10:40	2026-05-20 23:49	urlquery	html.microlink.io/http%3A%2F%2Fwww.whstrustpkl.com/about/
cors.io	page,wrapper	90	2026-04-26 17:12	2026-06-18 17:57	urlquery	cors.io/?url=https%3A%2F%2Functadstat-api.unctad.org%2Fdatamart-api%2FUS.PCI%2F2005%2FFacts%3F%24top%3D1
httpbun.com	base,page	83	2026-06-18 09:50:19	2026-06-21 20:08	urlquery,urlscan	httpbun.com/base64/PGh0bWw%2BPGhlYWQ%2BPHRpdGxlPlNUQVJUPC90aXRsZT48L2hlYWQ%2BPGJvZHk%2BPHNjcmlwdD5mdW5jdGlvbiBMKHgpe2RvY3VtZW50LnRpdGxlPVN0cmluZyh4KS5zbGljZSgwLDIwMCk7bmV3IEltYWdlKCkuc3JjPSdodHRwczovL
newspapers.com	base	40	2026-05-13 00:26	2026-05-15 07:45	urlquery	cors.io/?url=https%3A%2F%2Fwww.newspapers.com%2Fapi%2Fclient%2Fimage%2Focr%2F%3Fpage%3D587043223%26type%3Dclipping%26objectId%3D0%26x%3D100%26y%3D1200%26width%3D1000%26height%3D3000
macrotrends.net	base	37	2026-05-10 09:45	2026-05-25 07:34	urlquery	r.jina.ai/http://www.macrotrends.net/economic-data/2533/INDEXDAILY
datastudio.google.com	base	33	2026-05-13 21:59	2026-05-14 12:20	urlquery	api.microlink.io/?url=https%3A%2F%2Fdatastudio.google.com%2Freporting%2Fbeb9619f-674c-4512-92e4-541e6ff5b1ab%2Fpage%2FpYB6B%26pdf=true
cors-anywhere.fly.dev	page,wrapper	30	2026-05-10 06:26	2026-05-19 12:06	urlquery	cors-anywhere.fly.dev/https://whssgr.com/history/
nmdigital.unm.edu	base	28	2026-05-25 22:09	2026-05-26 19:50	urlquery	markdown.new/https://nmdigital.unm.edu/iiif/2/valmora:136;2/0,1340,1202,222/full/0/default.jpg?format=foo
llanfrynachcommunitycouncil.gov.uk	base	25	2026-05-12 13:06	2026-05-13 05:25	urlquery	markdown.microlink.io/https://llanfrynachcommunitycouncil.gov.uk/wp-content/uploads/2024/12/Jacks-History-Project.pdf
lookerstudio.google.com	base	23	2026-05-10 18:45	2026-05-14 06:10	urlquery	api.microlink.io/?url=https%3A%2F%2Flookerstudio.google.com%2Freporting%2Fbeb9619f-674c-4512-92e4-541e6ff5b1ab%2Fpage%2FpYB6B%26function%3D%28%7Bpage%7D%29%3D%3Epage.evaluate%28%22document.body.innerT
pp.aihw.gov.au	base,page	16	2026-06-21 11:23	2026-06-21 19:53	urlquery	pp.aihw.gov.au/?x=1782040946423382947
statista.com	base	16	2026-05-16 22:57	2026-05-18 06:43	urlquery	api.microlink.io/?url=https%3A%2F%2Fwww.statista.com%2Fchart%2F31336%2Fpopular-buy-now-pay-later-providers-in-the-us%2F&data.content.attr=markdown&meta=true
microlink.io	base	15	2026-05-13 23:23	2026-05-13 23:28	urlquery	api.microlink.io/?embed=image.url&url=https%3A%2F%2Fmicrolink.io
preservinglocalhistory.recollectcms.com	base	15	2026-05-23 10:55	2026-05-23 23:12	urlquery	markdown.new/preservinglocalhistory.recollectcms.com/nodes/gettxt/OCR/299252
smilefm.co.za	base	15	2026-05-20 22:47	2026-05-21 15:23	urlquery	markdown.microlink.io/https://smilefm.co.za/festive-lights-switch-on-weekend-road-closures/
httpbingo.org	base,page	12	2026-06-20 20:14	2026-06-21 21:02	urlquery	httpbingo.org/get?x=2014
airtable.com	base	11	2026-05-26 15:30	2026-05-26 19:45	urlquery	md.succ.ai/http://airtable.com/shrMLVqYbqJ5nOxel
img.newspapers.com	base	11	2026-05-13 13:18	2026-05-15 14:58	urlquery	markdown.new/img.newspapers.com/img/thumbnail/587043223/400/50/293_1580_700_100.jpg
datawrapper.dwcdn.net	base	8	2026-05-13 15:45	2026-05-14 01:14	urlquery	markdown.new/https://datawrapper.dwcdn.net/KnlIP/4/dataset.csv
deelay.me	page,wrapper	8	2021-09-20 16:19:26	2026-06-21 21:13	urlquery,urlscan	deelay.me/30000/https://example.com/?x=1434
drivelah.sg	base	6	2026-05-12 23:22	2026-05-13 02:44	urlquery	html.microlink.io/https://web.archive.org/web/20240813125117/https://www.drivelah.sg/blog/getting-around-singapore-comparing-ride-hailing-taxis-and-car-sharing-services-clyq158ca000ag0d2bf905d69
web2md.site	page,wrapper	6	2026-05-17 22:46	2026-05-17 22:46	urlquery	www.web2md.site/api/kepler?url=https://example.com
mapgenie.io	base	5	2026-06-17 11:31	2026-06-17 12:20	urlquery	allorigins.hexlet.app/raw?url=https%3A%2F%2Fmapgenie.io%2Fapi%2Fv1%2Fmaps%2F580%2Ffull
2cd0c79e2122ae.lhr.life	base,page	4	2026-06-21 20:28	2026-06-21 20:33	urlquery	2cd0c79e2122ae.lhr.life/probe.html?x=1782073662184929946
btly.click	base,page	4	2026-03-12 04:52:27	2026-03-15 02:01:40	urlscan	http://btly.click/yourls-api.php
pospointsolutions.com	base,page	4	2025-02-04 17:08	2025-02-05 10:54	urlquery	pospointsolutions.com/url/2/sample-remote-api-call.txt/user/css/sample-public-front-page.txt/yourls-api.php/LICENSE/LICENSE/
shortaff.top	base,page	4	2026-08-16 04:27:56	2026-08-16 04:38:30	urlscan	http://shortaff.top/yourls-api.php
suratcinta.site	base,page	4	2024-12-06 11:18	2024-12-06 11:18	urlquery	suratcinta.site/yourls-go.php/sample-public-front-page.txt/LICENSE/YOURLS-master/yourls-api.php/LICENSE/yourls-go.php/yourls-api.php/sample-remote-api-call.txt/sample-public-front-page.txt/sample-robo
whatsappdirecionar.com	base,page	4	2026-07-10 02:35:41	2026-07-27 22:23:01	urlscan	https://whatsappdirecionar.com/yourls-api.php
hockey-reference.com	base	3	2026-06-17 11:44	2026-06-17 12:15	urlquery	pure.md/www.hockey-reference.com/teams/NSH/2023.html
3ddd9f785f89b7.lhr.life	base,page	2	2026-06-21 21:08	2026-06-21 21:08	urlquery	3ddd9f785f89b7.lhr.life/combo.html?slow=1782076054319184895
a2372f6e092e1f.lhr.life	base,page	2	2026-06-21 20:57	2026-06-21 20:57	urlquery	a2372f6e092e1f.lhr.life/combo.html?fix=1782075420486983452
akses27.bio	base,page	2	2026-07-12 14:06:01	2026-07-12 14:06:01	urlscan	https://akses27.bio/yourls-api.php
aksessip.bio	base,page	2	2026-07-12 19:57:39	2026-07-12 19:57:39	urlscan	https://aksessip.bio/yourls-api.php
aksestda.bio	base,page	2	2026-07-12 14:29:04	2026-07-12 14:29:04	urlscan	https://aksestda.bio/yourls-api.php
aquie.click	base,page	2	2025-01-03 02:00	2025-01-03 02:00	urlquery	aquie.click/user/composer.lock/sample-public-front-page.txt/yourls-loader.php/yourls-loader.php/sample-public-front-page.txt/sample-public-front-page.txt/yourls-infos.php/composer.lock/yourls-go.php/c
bd3072a2d9bf75.lhr.life	base,page	2	2026-06-21 20:18	2026-06-21 20:18	urlquery	bd3072a2d9bf75.lhr.life/probe.html?x=1782073050936390202
bluapple.myshopify.com	base,page	2	2026-09-13 19:29	2026-09-13 19:29	urlquery	bluapple.myshopify.com/products/bluapple-one-year-refill-kit-with-activated-carbon?variant=17919770001459&utm_source=redo&utm_medium=email&utm_campaign=order_delivered&utm_contact=eyJlbWFpbCI6InNlbm9y
cde.ucr.cjis.gov	base	2	2026-05-12 15:29	2026-05-12 15:29	urlquery	markdown.new/allorigins.hexlet.app/raw?url=https%3A%2F%2Fcde.ucr.cjis.gov%2FLATEST%2Farrest%2Fnational%2F60%3Ffrom%3D01-2015%26to%3D01-2019%26type%3Dcounts
clarku.edu	base	2	2026-06-01 15:20	2026-06-01 15:29	urlquery	pure.md/web.archive.org/web/20130531003440id_/http://www.clarku.edu/departments/economics/pdf/newsletter2012.pdf
click-track.ink	base,page	2	2026-04-10 12:22:58	2026-04-10 12:22:58	urlscan	https://click-track.ink/yourls-api.php
community.connect.gov	base,page	2	2024-05-02 13:46	2024-05-02 13:46	urlquery	community.connect.gov/display/HHS/HHS*OFPR*DASO?src=mail&src.mail.product=confluence-server&src.mail.timestamp=1714656602615&src.mail.notification=com.atlassian.confluence.plugins.confluence-notificat
connect-maps.online	base,page	2	2026-05-31 04:14:35	2026-05-31 04:14:35	urlscan	https://connect-maps.online/yourls-api.php
delighted-azure-xlbcrinc-dp1ad4650nep.edgeone.dev	base,page	2	2026-09-13 08:10:46	2026-09-13 08:10:46	urlscan	https://delighted-azure-xlbcrinc-dp1ad4650nep.edgeone.dev/
duniaedukasi.xyz	base,page	2	2026-03-06 10:41:45	2026-03-06 10:41:45	urlscan	https://duniaedukasi.xyz/yourls-api.php
edukasipedia.xyz	base,page	2	2026-03-06 16:48:51	2026-03-06 16:48:51	urlscan	https://edukasipedia.xyz/yourls-api.php
essential-azure-pjg7c4fg-dpe86te1owqx.edgeone.dev	base,page	2	2026-09-13 08:16:50	2026-09-13 08:16:50	urlscan	https://essential-azure-pjg7c4fg-dpe86te1owqx.edgeone.dev/
fun-coffee-ocgsbi2d-dpn05qytfu6o.edgeone.dev	base,page	2	2026-09-13 08:36:42	2026-09-13 08:36:42	urlscan	https://fun-coffee-ocgsbi2d-dpn05qytfu6o.edgeone.dev/
ilmusutra.ink	base,page	2	2026-09-04 10:00:15	2026-09-04 10:00:15	urlscan	https://ilmusutra.ink/yourls-api.php
jmp247.com	base,page	2	2026-07-31 14:27:32	2026-07-31 14:27:32	urlscan	https://jmp247.com/yourls-api.php
kainmax23.online.tantewin73.properties	base,page	2	2026-04-11 14:26:33	2026-04-11 14:26:33	urlscan	http://kainmax23.online.tantewin73.properties/yourls-api.php
lcohb-44-235-69-184.run.pinggy-free.link	base,page	2	2026-06-21 20:25	2026-06-21 20:25	urlquery	lcohb-44-235-69-184.run.pinggy-free.link/probe.html?x=1782073472114233418
lihg.link	base,page	2	2026-07-27 03:28:42	2026-07-27 03:28:42	urlscan	http://lihg.link/yourls-api.php
linkmbp.vip	base,page	2	2025-01-25 03:00	2025-01-25 03:00	urlquery	linkmbp.vip/yourls-loader.php/sample-public-front-page.txt/backup-old.zip/yourls-loader.php/css/yourls-infos.php/sample-remote-api-call.txt/yourls-go.php/yourls-api.php/yourls-go.php/css/user/composer
login.shareport.site	base,page	2	2026-08-30 12:03:33	2026-08-30 12:03:33	urlscan	https://login.shareport.site/view/Inquiry_Info.pdf
lynkb.net	base,page	2	2026-03-08 05:56:47	2026-03-08 05:56:47	urlscan	https://lynkb.net/yourls-api.php
maxintora.com	base,page	2	2026-03-22 17:53:43	2026-03-22 17:53:43	urlscan	https://maxintora.com/yourls-api.php
minotour.ink	base,page	2	2026-06-23 04:20:22	2026-06-23 04:20:22	urlscan	https://minotour.ink/yourls-api.php
navravi-mpt-belmuzo-g7d4fa19.pages.dev	base,page	2	2026-09-14 18:57	2026-09-14 18:57	urlquery	navravi-mpt-belmuzo-g7d4fa19.pages.dev/thn-yjm-uio-lkh?welcome=176605049044309&stt=176605049044309&name_stt=MOM%20&%20Co
net.hr-autentifikacijaracuna.cimel.cl	base,page	2	2026-05-24 00:13:28	2026-05-24 00:13:28	urlscan	https://net.hr-autentifikacijaracuna.cimel.cl/url/yourls-api.php
okta.sharevault.site	base,page	2	2026-09-11 04:15:46	2026-09-11 04:15:46	urlscan	http://okta.sharevault.site/
post-proxy-endpoint-test.pages.dev	base,page	2	2026-08-27 01:40:53	2026-08-27 01:40:53	urlscan	https://post-proxy-endpoint-test.pages.dev/
reservathion-approval-status.com	base,page	2	2026-04-01 12:13:53	2026-04-01 12:13:53	urlscan	https://reservathion-approval-status.com/yourls-api.php
reservathion-status-confirm.com	base,page	2	2026-04-02 14:19:24	2026-04-02 14:19:24	urlscan	https://reservathion-status-confirm.com/yourls-api.php
roropipi2929.online.pipikokko223.space	base,page	2	2026-04-29 16:42:02	2026-04-29 16:42:02	urlscan	https://roropipi2929.online.pipikokko223.space/yourls-api.php
sagernotebook.com	base	2	2026-05-28 18:39	2026-05-28 18:39	urlquery	pure.md/www.sagernotebook.com/blog/2017/05/09/the-best-telltale-game-series-of-all-time/
samuraivip.site	base,page	2	2026-04-18 17:11:42	2026-04-18 17:11:42	urlscan	https://samuraivip.site/yourls-api.php
scanmail.trustwave.com	base,page	2	2026-08-03 13:53:02	2026-08-03 13:53:02	urlscan	https://scanmail.trustwave.com/?c=21160&d=nufp6jg7x8oEocjAUSK9KHjzN9PQhR7oWmfozLulbw&u=https%3a%2f%2fwww%2esalesmanago%2epl%2fsmrd%2ehtm%3furl%3dhttps%253A%252F%252Fstorage%2egoogleapis%2ecom%2fauiul%
shortky.me	base,page	2	2026-04-25 14:37:17	2026-04-25 14:37:17	urlscan	https://shortky.me/yourls-api.php
shortlaskar.site	base,page	2	2026-05-27 09:32:43	2026-05-27 09:32:43	urlscan	http://shortlaskar.site/yourls-api.php
silahkan-masuk.online	base,page	2	2026-06-01 07:15:00	2026-06-01 07:15:00	urlscan	https://silahkan-masuk.online/yourls-api.php
status-verif-servise.com	base,page	2	2026-04-03 14:31:03	2026-04-03 14:31:03	urlscan	https://status-verif-servise.com/yourls-api.php
status-verification-check.com	base,page	2	2026-07-18 16:22:16	2026-07-18 16:22:16	urlscan	https://status-verification-check.com/yourls-api.php
status-verification-now.com	base,page	2	2026-07-13 02:29:00	2026-07-13 02:29:00	urlscan	https://status-verification-now.com/yourls-api.php
sweetshow-dp26ryalc1w3.edgeone.dev	base,page	2	2026-09-13 08:29:59	2026-09-13 08:29:59	urlscan	https://sweetshow-dp26ryalc1w3.edgeone.dev/
takjilsore.cfd	base,page	2	2026-09-06 13:37:43	2026-09-06 13:37:43	urlscan	https://takjilsore.cfd/yourls-api.php
tkbtop8.xyz	base,page	2	2026-07-18 20:29:16	2026-07-18 20:29:16	urlscan	https://tkbtop8.xyz/yourls-api.php
toplogst.com	base,page	2	2026-08-14 21:09:42	2026-08-14 21:09:42	urlscan	https://toplogst.com/yourls-api.php
triptravel.app	base,page	2	2026-05-07 11:17:41	2026-05-07 11:17:41	urlscan	https://triptravel.app/yourls-api.php
trycall.link	base,page	2	2026-03-01 08:07:54	2026-03-01 08:07:54	urlscan	http://trycall.link/yourls-api.php
url-piala.live	base,page	2	2026-04-17 12:30:49	2026-04-17 12:30:49	urlscan	https://url-piala.live/yourls-api.php
urlink.ink	base,page	2	2026-08-18 11:16:07	2026-08-18 11:16:07	urlscan	https://urlink.ink/yourls-api.php
urlmx.link	base,page	2	2026-04-10 10:52:33	2026-04-10 10:52:33	urlscan	https://urlmx.link/yourls-api.php
weblink.fans	base,page	2	2026-05-07 17:36:52	2026-05-07 17:36:52	urlscan	http://weblink.fans/yourls-api.php
wsrv.nl	base	2	2026-05-13 14:31	2026-05-13 14:31	urlquery	markdown.new/wsrv.nl
yourls.ienm.store	base,page	2	2026-05-26 08:27	2026-05-26 08:27	urlquery	yourls.ienm.store/yourls/yourls-api.php?format=json%26action=version
ccac.ca	base	1	2026-05-14 22:56	2026-05-14 22:56	urlquery	md.succ.ai/ccac.ca/Documents/AUD/CCAC_Animal_Data_Report_2020.pdf
citybouldering.co.uk	base	1	2026-05-25 07:34	2026-05-25 07:34	urlquery	pure.md/web.archive.org/web/20250130173859id_/https://www.citybouldering.co.uk/events/climbers-yoga
clarku.edu:80	base	1	2026-06-01 16:21	2026-06-01 16:21	urlquery	pure.md/web.archive.org/web/20130525012744id_/http://www.clarku.edu:80/departments/economics/pdf/newsletter%202010color.pdf
cosmosmagazine.com	base	1	2026-05-25 07:35	2026-05-25 07:35	urlquery	pure.md/http://web.archive.org/web/20230327172556id_/https://cosmosmagazine.com/history/palaeontology/unlucky-timing-may-have-helped-kill-off-the-dinosaurs/
dev.thedrive.ai	base	1	2026-06-18 19:32	2026-06-18 19:32	urlquery	markdown.new/https://dev.thedrive.ai/md/www.sec.gov/files/county.json
glsarchives.com	base	1	2026-05-26 21:23	2026-05-26 21:23	urlquery	pure.md/www.glsarchives.com/surveys/results.php?street=Argonne%20Drive&county=CLAYTON
graph%2emapillary%2ecom	base	1	2026-06-14 16:52	2026-06-14 16:52	urlquery	r.jina.ai/http://graph%2Emapillary%2Ecom/images?access_token=MLY|4100327730013843|<redacted:mapillary>&fields=id&bbox=23.72,37.98,23.725,37.985&limit=1
graph.mapillary.com	base	1	2026-06-14 08:09	2026-06-14 08:09	urlquery	r.jina.ai/http%3A%2F%2Fgraph%2Emapillary%2Ecom%2Fimages%3Faccess_token=MLY%7C3376030635833192%7C<redacted:mapillary>&bbox=27.55%2C53.895%2C27.56%2C53.905&limit=2&fields=id
morningkashmir.com	base	1	2026-05-11 23:30	2026-05-11 23:30	urlquery	pure.md/www.morningkashmir.com/woodlands-house-school-celebrates-foundation-day/
newgrounds.com	base	1	2026-07-13 23:27:34	2026-07-13 23:27:34	urlscan	https://r.jina.ai/http://https://www.newgrounds.com/art/view/joaoppereiraus/get-used-to-it
thetravel.com	base	1	2026-05-29 04:48	2026-05-29 04:48	urlquery	pure.md/www.thetravel.com/best-toronto-restaurants-for-a-first-date/
toptenbooks.net	base	1	2026-05-19 11:32	2026-05-19 11:32	urlquery	pure.md/https://www.toptenbooks.net/top-ten-books-all-time
webscore.app	base	1	2026-04-18 13:32	2026-04-18 13:32	urlquery	corsproxy.io/?url=https://webscore.app
www2.clarku.edu	base	1	2026-06-01 15:29	2026-06-01 15:29	urlquery	pure.md/web.archive.org/web/20180106002535id_/http://www2.clarku.edu/departments/economics/pdf/newsletter%202010color.pdf
