date	wiki	count
2026-04-04	wiki4d	4306
2026-04-05	buecher	9355
2026-04-05	culios	133
2026-04-05	dse	11959
2026-04-05	fractal	18270
2026-04-05	lions	46
2026-04-05	nausner	195
2026-04-05	probier	34
2026-04-05	support	1397
2026-04-05	wiki4d	5296
2026-04-06	buecher	13396
2026-04-06	culios	693
2026-04-06	dse	13111
2026-04-06	fractal	62419
2026-04-06	lions	225
2026-04-06	nausner	496
2026-04-06	probier	33
2026-04-06	support	2784
2026-04-06	wiki4d	5826
2026-04-07	buecher	9833
2026-04-07	culios	251
2026-04-07	dse	12154
2026-04-07	fractal	21010
2026-04-07	lions	38
2026-04-07	nausner	305
2026-04-07	probier	23
2026-04-07	support	1772
2026-04-07	wiki4d	4183
2026-04-08	buecher	8599
2026-04-08	culios	158
2026-04-08	dse	12341
2026-04-08	fractal	33887
2026-04-08	lions	30
2026-04-08	nausner	172
2026-04-08	probier	38
2026-04-08	support	2101
2026-04-08	wiki4d	4227
2026-04-09	buecher	9911
2026-04-09	culios	192
2026-04-09	dse	8774
2026-04-09	fractal	21353
2026-04-09	lions	22
2026-04-09	nausner	134
2026-04-09	probier	31
2026-04-09	support	1565
2026-04-09	wiki4d	5008
2026-04-10	buecher	12980
2026-04-10	culios	199
2026-04-10	dse	13610
2026-04-10	fractal	27326
2026-04-10	lions	94
2026-04-10	nausner	197
2026-04-10	probier	42
2026-04-10	support	1649
2026-04-10	wiki4d	4663
2026-04-11	buecher	9301
2026-04-11	culios	149
2026-04-11	dse	10203
2026-04-11	fractal	23210
2026-04-11	lions	63
2026-04-11	nausner	161
2026-04-11	probier	25
2026-04-11	support	1170
2026-04-11	wiki4d	4244
2026-04-12	buecher	9583
2026-04-12	culios	163
2026-04-12	dse	9247
2026-04-12	fractal	28456
2026-04-12	lions	49
2026-04-12	nausner	95
2026-04-12	probier	39
2026-04-12	support	1353
2026-04-12	wiki4d	4364
2026-04-13	buecher	8243
2026-04-13	culios	146
2026-04-13	dse	8109
2026-04-13	fractal	26711
2026-04-13	lions	48
2026-04-13	nausner	223
2026-04-13	probier	17
2026-04-13	support	1230
2026-04-13	wiki4d	4493
2026-04-14	buecher	7393
2026-04-14	culios	151
2026-04-14	dse	6360
2026-04-14	fractal	23831
2026-04-14	lions	95
2026-04-14	nausner	180
2026-04-14	probier	24
2026-04-14	support	923
2026-04-14	wiki4d	4396
2026-04-15	buecher	7960
2026-04-15	culios	167
2026-04-15	dse	12762
2026-04-15	fractal	24702
2026-04-15	lions	150
2026-04-15	nausner	407
2026-04-15	probier	37
2026-04-15	support	1361
2026-04-15	wiki4d	8016
2026-04-16	buecher	4382
2026-04-16	culios	81
2026-04-16	dse	7494
2026-04-16	fractal	14028
2026-04-16	lions	28
2026-04-16	nausner	86
2026-04-16	probier	11
2026-04-16	support	673
2026-04-16	wiki4d	3947
2026-04-17	buecher	3909
2026-04-17	culios	102
2026-04-17	dse	6665
2026-04-17	fractal	14766
2026-04-17	lions	42
2026-04-17	nausner	34
2026-04-17	probier	19
2026-04-17	support	547
2026-04-17	wiki4d	4686
2026-04-18	buecher	3780
2026-04-18	culios	53
2026-04-18	dse	6823
2026-04-18	fractal	23718
2026-04-18	lions	15
2026-04-18	nausner	72
2026-04-18	probier	17
2026-04-18	support	676
2026-04-18	wiki4d	4960
2026-04-19	buecher	5069
2026-04-19	culios	163
2026-04-19	dse	34036
2026-04-19	fractal	55077
2026-04-19	lions	46
2026-04-19	nausner	147
2026-04-19	probier	42
2026-04-19	support	994
2026-04-19	wiki4d	6381
2026-04-20	buecher	8955
2026-04-20	culios	136
2026-04-20	dse	8026
2026-04-20	fractal	29458
2026-04-20	lions	37
2026-04-20	nausner	43
2026-04-20	probier	33
2026-04-20	support	767
2026-04-20	wiki4d	8312
2026-04-21	buecher	25015
2026-04-21	culios	219
2026-04-21	dse	16822
2026-04-21	fractal	38121
2026-04-21	lions	79
2026-04-21	nausner	220
2026-04-21	probier	78
2026-04-21	support	1308
2026-04-21	wiki4d	6855
2026-04-22	buecher	11942
2026-04-22	culios	180
2026-04-22	dse	41626
2026-04-22	fractal	33059
2026-04-22	lions	89
2026-04-22	nausner	141
2026-04-22	probier	83
2026-04-22	support	1489
2026-04-22	wiki4d	10121
2026-04-23	buecher	11802
2026-04-23	culios	171
2026-04-23	dse	12677
2026-04-23	fractal	30088
2026-04-23	lions	116
2026-04-23	nausner	154
2026-04-23	probier	71
2026-04-23	support	1919
2026-04-23	wiki4d	5784
2026-04-24	buecher	11924
2026-04-24	culios	163
2026-04-24	dse	17018
2026-04-24	fractal	40417
2026-04-24	lions	375
2026-04-24	nausner	240
2026-04-24	probier	84
2026-04-24	support	2044
2026-04-24	wiki4d	7263
2026-04-25	buecher	9175
2026-04-25	culios	143
2026-04-25	dse	15586
2026-04-25	fractal	39396
2026-04-25	lions	158
2026-04-25	nausner	145
2026-04-25	probier	117
2026-04-25	support	1812
2026-04-25	wiki4d	5331
2026-04-26	buecher	8341
2026-04-26	culios	109
2026-04-26	dse	10504
2026-04-26	fractal	32925
2026-04-26	lions	91
2026-04-26	nausner	133
2026-04-26	probier	76
2026-04-26	support	1489
2026-04-26	wiki4d	8325
2026-04-27	buecher	11302
2026-04-27	culios	257
2026-04-27	dse	17437
2026-04-27	fractal	36917
2026-04-27	lions	111
2026-04-27	nausner	211
2026-04-27	probier	137
2026-04-27	support	2082
2026-04-27	wiki4d	4389
2026-04-28	buecher	12720
2026-04-28	culios	323
2026-04-28	dse	14392
2026-04-28	fractal	33915
2026-04-28	lions	214
2026-04-28	nausner	233
2026-04-28	probier	145
2026-04-28	support	2405
2026-04-28	wiki4d	3881
2026-04-29	buecher	21209
2026-04-29	culios	228
2026-04-29	dse	12040
2026-04-29	fractal	27533
2026-04-29	lions	130
2026-04-29	nausner	275
2026-04-29	probier	118
2026-04-29	support	1685
2026-04-29	wiki4d	4715
2026-04-30	buecher	14251
2026-04-30	culios	235
2026-04-30	dse	13126
2026-04-30	fractal	33549
2026-04-30	lions	144
2026-04-30	nausner	325
2026-04-30	probier	149
2026-04-30	support	2175
2026-04-30	wiki4d	8306
2026-05-01	buecher	13392
2026-05-01	culios	179
2026-05-01	dse	11138
2026-05-01	fractal	27084
2026-05-01	lions	82
2026-05-01	nausner	246
2026-05-01	probier	94
2026-05-01	support	2262
2026-05-01	wiki4d	5875
2026-05-02	buecher	8825
2026-05-02	culios	143
2026-05-02	dse	5864
2026-05-02	fractal	25873
2026-05-02	lions	89
2026-05-02	nausner	110
2026-05-02	probier	56
2026-05-02	support	1017
2026-05-02	wiki4d	6090
2026-05-03	buecher	9390
2026-05-03	culios	125
2026-05-03	dse	5802
2026-05-03	fractal	25328
2026-05-03	lions	38
2026-05-03	nausner	101
2026-05-03	probier	25
2026-05-03	support	689
2026-05-03	wiki4d	4331
2026-05-04	buecher	8081
2026-05-04	culios	190
2026-05-04	dse	6740
2026-05-04	fractal	22027
2026-05-04	lions	62
2026-05-04	nausner	150
2026-05-04	probier	35
2026-05-04	support	1123
2026-05-04	wiki4d	3797
2026-05-05	buecher	17980
2026-05-05	culios	184
2026-05-05	dse	8143
2026-05-05	fractal	26900
2026-05-05	lions	58
2026-05-05	nausner	218
2026-05-05	probier	38
2026-05-05	support	1245
2026-05-05	wiki4d	4477
2026-05-06	buecher	6800
2026-05-06	culios	150
2026-05-06	dse	11443
2026-05-06	fractal	32860
2026-05-06	lions	56
2026-05-06	nausner	171
2026-05-06	probier	38
2026-05-06	support	1105
2026-05-06	wiki4d	5526
2026-05-07	buecher	7074
2026-05-07	culios	288
2026-05-07	dse	12759
2026-05-07	fractal	47077
2026-05-07	lions	45
2026-05-07	nausner	97
2026-05-07	probier	109
2026-05-07	support	870
2026-05-07	wiki4d	5838
2026-05-08	buecher	8273
2026-05-08	culios	147
2026-05-08	dse	11968
2026-05-08	fractal	43942
2026-05-08	lions	234
2026-05-08	nausner	120
2026-05-08	probier	52
2026-05-08	support	2126
2026-05-08	wiki4d	7389
2026-05-09	buecher	8690
2026-05-09	culios	102
2026-05-09	dse	15791
2026-05-09	fractal	38699
2026-05-09	lions	51
2026-05-09	nausner	143
2026-05-09	probier	38
2026-05-09	support	680
2026-05-09	wiki4d	8066
2026-05-10	buecher	6343
2026-05-10	culios	108
2026-05-10	dse	8468
2026-05-10	fractal	21818
2026-05-10	lions	52
2026-05-10	nausner	92
2026-05-10	probier	42
2026-05-10	support	611
2026-05-10	wiki4d	4003
2026-05-11	buecher	7897
2026-05-11	culios	180
2026-05-11	dse	9358
2026-05-11	fractal	22976
2026-05-11	lions	78
2026-05-11	nausner	68
2026-05-11	probier	50
2026-05-11	support	647
2026-05-11	wiki4d	6540
2026-05-12	buecher	7130
2026-05-12	culios	413
2026-05-12	dse	12089
2026-05-12	fractal	36588
2026-05-12	lions	233
2026-05-12	nausner	86
2026-05-12	probier	36
2026-05-12	support	583
2026-05-12	wiki4d	7481
2026-05-13	buecher	9496
2026-05-13	culios	127
2026-05-13	dse	7188
2026-05-13	fractal	31516
2026-05-13	lions	65
2026-05-13	nausner	117
2026-05-13	probier	53
2026-05-13	support	713
2026-05-13	wiki4d	9288
2026-05-14	buecher	5481
2026-05-14	culios	70
2026-05-14	dse	9705
2026-05-14	fractal	30295
2026-05-14	lions	48
2026-05-14	nausner	99
2026-05-14	probier	112
2026-05-14	support	779
2026-05-14	wiki4d	6582
2026-05-15	buecher	10710
2026-05-15	culios	82
2026-05-15	dse	7736
2026-05-15	fractal	37773
2026-05-15	lions	25
2026-05-15	nausner	92
2026-05-15	probier	97
2026-05-15	support	850
2026-05-15	wiki4d	9133
2026-05-16	buecher	11537
2026-05-16	culios	83
2026-05-16	dse	7350
2026-05-16	fractal	24184
2026-05-16	lions	26
2026-05-16	nausner	117
2026-05-16	probier	60
2026-05-16	support	773
2026-05-16	wiki4d	6652
2026-05-17	buecher	9561
2026-05-17	culios	148
2026-05-17	dse	9428
2026-05-17	fractal	17302
2026-05-17	lions	80
2026-05-17	nausner	190
2026-05-17	probier	59
2026-05-17	support	977
2026-05-17	wiki4d	5192
2026-05-18	buecher	7678
2026-05-18	culios	127
2026-05-18	dse	10429
2026-05-18	fractal	23575
2026-05-18	lions	66
2026-05-18	nausner	130
2026-05-18	probier	44
2026-05-18	support	990
2026-05-18	wiki4d	18985
2026-05-19	buecher	8727
2026-05-19	culios	140
2026-05-19	dse	6554
2026-05-19	fractal	18702
2026-05-19	lions	48
2026-05-19	nausner	114
2026-05-19	probier	33
2026-05-19	support	4487
2026-05-19	wiki4d	6476
2026-05-20	buecher	7329
2026-05-20	culios	59
2026-05-20	dse	5583
2026-05-20	fractal	21607
2026-05-20	lions	28
2026-05-20	nausner	60
2026-05-20	probier	17
2026-05-20	support	624
2026-05-20	wiki4d	6266
2026-05-21	buecher	11969
2026-05-21	culios	125
2026-05-21	dse	9144
2026-05-21	fractal	21731
2026-05-21	lions	53
2026-05-21	nausner	79
2026-05-21	probier	35
2026-05-21	support	737
2026-05-21	wiki4d	6724
2026-05-22	buecher	15696
2026-05-22	culios	395
2026-05-22	dse	12693
2026-05-22	fractal	19414
2026-05-22	lions	63
2026-05-22	nausner	169
2026-05-22	probier	99
2026-05-22	support	1486
2026-05-22	wiki4d	4522
2026-05-23	buecher	10699
2026-05-23	culios	343
2026-05-23	dse	15258
2026-05-23	fractal	29396
2026-05-23	lions	141
2026-05-23	nausner	530
2026-05-23	probier	111
2026-05-23	support	842
2026-05-23	wiki4d	4160
2026-05-24	buecher	5641
2026-05-24	culios	96
2026-05-24	dse	20396
2026-05-24	fractal	24786
2026-05-24	lions	26
2026-05-24	nausner	42
2026-05-24	probier	145
2026-05-24	support	801
2026-05-24	wiki4d	3788
2026-05-25	buecher	5704
2026-05-25	culios	212
2026-05-25	dse	10542
2026-05-25	fractal	15895
2026-05-25	lions	45
2026-05-25	nausner	131
2026-05-25	probier	61
2026-05-25	support	683
2026-05-25	wiki4d	3113
2026-05-26	buecher	7119
2026-05-26	culios	152
2026-05-26	dse	88039
2026-05-26	fractal	25731
2026-05-26	lions	66
2026-05-26	nausner	142
2026-05-26	probier	471
2026-05-26	support	880
2026-05-26	wiki4d	6896
2026-05-27	buecher	7020
2026-05-27	culios	149
2026-05-27	dse	19923
2026-05-27	fractal	22072
2026-05-27	lions	69
2026-05-27	nausner	82
2026-05-27	probier	89
2026-05-27	support	666
2026-05-27	wiki4d	4780
2026-05-28	buecher	8270
2026-05-28	culios	193
2026-05-28	dse	31347
2026-05-28	fractal	22966
2026-05-28	lions	54
2026-05-28	nausner	80
2026-05-28	probier	81
2026-05-28	support	647
2026-05-28	wiki4d	4504
2026-05-29	buecher	8465
2026-05-29	culios	153
2026-05-29	dse	21970
2026-05-29	fractal	27847
2026-05-29	lions	251
2026-05-29	nausner	86
2026-05-29	probier	195
2026-05-29	support	658
2026-05-29	wiki4d	5177
2026-05-30	buecher	7959
2026-05-30	culios	142
2026-05-30	dse	65047
2026-05-30	fractal	24786
2026-05-30	lions	83
2026-05-30	nausner	116
2026-05-30	probier	84
2026-05-30	support	754
2026-05-30	wiki4d	6540
2026-05-31	buecher	9809
2026-05-31	culios	120
2026-05-31	dse	26245
2026-05-31	fractal	25104
2026-05-31	lions	77
2026-05-31	nausner	125
2026-05-31	probier	78
2026-05-31	support	673
2026-05-31	wiki4d	5324
2026-06-01	buecher	6341
2026-06-01	culios	71
2026-06-01	dse	23444
2026-06-01	fractal	18210
2026-06-01	lions	31
2026-06-01	nausner	50
2026-06-01	probier	254
2026-06-01	support	568
2026-06-01	wiki4d	7226
2026-06-02	buecher	6838
2026-06-02	culios	115
2026-06-02	dse	25919
2026-06-02	fractal	18141
2026-06-02	lions	26
2026-06-02	nausner	61
2026-06-02	probier	42
2026-06-02	support	1382
2026-06-02	wiki4d	6198
2026-06-03	buecher	7925
2026-06-03	culios	148
2026-06-03	dse	37812
2026-06-03	fractal	20935
2026-06-03	lions	129
2026-06-03	nausner	123
2026-06-03	probier	135
2026-06-03	support	1913
2026-06-03	wiki4d	15028
2026-06-04	buecher	8832
2026-06-04	culios	147
2026-06-04	dse	25316
2026-06-04	fractal	23214
2026-06-04	lions	69
2026-06-04	nausner	154
2026-06-04	probier	57
2026-06-04	support	1843
2026-06-04	wiki4d	17754
2026-06-05	buecher	7013
2026-06-05	culios	89
2026-06-05	dse	15557
2026-06-05	fractal	21509
2026-06-05	lions	27
2026-06-05	nausner	66
2026-06-05	probier	30
2026-06-05	support	660
2026-06-05	wiki4d	10390
2026-06-06	buecher	11046
2026-06-06	culios	196
2026-06-06	dse	17406
2026-06-06	fractal	20390
2026-06-06	lions	54
2026-06-06	nausner	115
2026-06-06	probier	103
2026-06-06	support	734
2026-06-06	wiki4d	6103
2026-06-07	buecher	10673
2026-06-07	culios	475
2026-06-07	dse	15385
2026-06-07	fractal	32940
2026-06-07	lions	69
2026-06-07	nausner	540
2026-06-07	probier	94
2026-06-07	support	883
2026-06-07	wiki4d	5944
2026-06-08	buecher	7356
2026-06-08	culios	84
2026-06-08	dse	18986
2026-06-08	fractal	33967
2026-06-08	lions	44
2026-06-08	nausner	42
2026-06-08	probier	61
2026-06-08	support	696
2026-06-08	wiki4d	3835
2026-06-09	buecher	8253
2026-06-09	culios	93
2026-06-09	dse	27132
2026-06-09	fractal	26695
2026-06-09	lions	28
2026-06-09	nausner	44
2026-06-09	probier	144
2026-06-09	support	529
2026-06-09	wiki4d	16216
2026-06-10	buecher	7481
2026-06-10	culios	124
2026-06-10	dse	19095
2026-06-10	fractal	57179
2026-06-10	lions	30
2026-06-10	nausner	57
2026-06-10	probier	125
2026-06-10	support	522
2026-06-10	wiki4d	8692
2026-06-11	buecher	7077
2026-06-11	culios	86
2026-06-11	dse	49146
2026-06-11	fractal	21148
2026-06-11	lions	38
2026-06-11	nausner	82
2026-06-11	probier	93
2026-06-11	support	673
2026-06-11	wiki4d	6055
2026-06-12	buecher	7420
2026-06-12	culios	96
2026-06-12	dse	20166
2026-06-12	fractal	25832
2026-06-12	lions	26
2026-06-12	nausner	52
2026-06-12	probier	77
2026-06-12	support	445
2026-06-12	wiki4d	5446
2026-06-13	buecher	7610
2026-06-13	culios	171
2026-06-13	dse	35818
2026-06-13	fractal	43171
2026-06-13	lions	23
2026-06-13	nausner	44
2026-06-13	probier	66
2026-06-13	support	929
2026-06-13	wiki4d	4476
2026-06-14	buecher	9208
2026-06-14	culios	961
2026-06-14	dse	22047
2026-06-14	fractal	34883
2026-06-14	lions	1381
2026-06-14	nausner	78
2026-06-14	probier	91
2026-06-14	support	4367
2026-06-14	wiki4d	4306
2026-06-15	buecher	6782
2026-06-15	culios	75
2026-06-15	dse	17966
2026-06-15	fractal	31625
2026-06-15	lions	58
2026-06-15	nausner	104
2026-06-15	probier	220
2026-06-15	support	2021
2026-06-15	wiki4d	4544
2026-06-16	buecher	7523
2026-06-16	culios	359
2026-06-16	dse	692176
2026-06-16	fractal	25895
2026-06-16	lions	22
2026-06-16	nausner	879
2026-06-16	probier	344
2026-06-16	support	829
2026-06-16	wiki4d	4104
2026-06-17	buecher	8573
2026-06-17	culios	184
2026-06-17	dse	411024
2026-06-17	fractal	25204
2026-06-17	lions	51
2026-06-17	nausner	241
2026-06-17	probier	333
2026-06-17	support	1972
2026-06-17	wiki4d	5629
2026-06-18	buecher	10967
2026-06-18	culios	396
2026-06-18	dse	278572
2026-06-18	fractal	30048
2026-06-18	lions	80
2026-06-18	nausner	579
2026-06-18	probier	10334
2026-06-18	support	3417
2026-06-18	wiki4d	6282
2026-06-19	buecher	10290
2026-06-19	culios	330
2026-06-19	dse	297397
2026-06-19	fractal	25797
2026-06-19	lions	88
2026-06-19	nausner	530
2026-06-19	probier	574
2026-06-19	support	3042
2026-06-19	wiki4d	6004
2026-06-20	buecher	8457
2026-06-20	culios	279
2026-06-20	dse	244143
2026-06-20	fractal	22570
2026-06-20	lions	61
2026-06-20	nausner	342
2026-06-20	probier	707
2026-06-20	support	3421
2026-06-20	wiki4d	9106
2026-06-21	buecher	7169
2026-06-21	culios	80
2026-06-21	dse	172051
2026-06-21	fractal	24042
2026-06-21	lions	75
2026-06-21	nausner	48
2026-06-21	probier	631
2026-06-21	support	1229
2026-06-21	wiki4d	22479
2026-06-22	buecher	6803
2026-06-22	culios	159
2026-06-22	dse	119000
2026-06-22	fractal	27871
2026-06-22	lions	59
2026-06-22	nausner	79
2026-06-22	probier	2799
2026-06-22	support	945
2026-06-22	wiki4d	17416
2026-06-23	buecher	6939
2026-06-23	culios	109
2026-06-23	dse	87477
2026-06-23	fractal	26181
2026-06-23	lions	125
2026-06-23	nausner	126
2026-06-23	probier	3098
2026-06-23	support	659
2026-06-23	wiki4d	22016
2026-06-24	buecher	7170
2026-06-24	culios	118
2026-06-24	dse	81090
2026-06-24	fractal	29323
2026-06-24	lions	99
2026-06-24	nausner	73
2026-06-24	probier	898
2026-06-24	support	473
2026-06-24	wiki4d	14629
2026-06-25	buecher	5869
2026-06-25	culios	81
2026-06-25	dse	42927
2026-06-25	fractal	24873
2026-06-25	lions	61
2026-06-25	nausner	69
2026-06-25	probier	241
2026-06-25	support	411
2026-06-25	wiki4d	7638
2026-06-26	buecher	7189
2026-06-26	culios	83
2026-06-26	dse	42039
2026-06-26	fractal	29079
2026-06-26	lions	18
2026-06-26	nausner	30
2026-06-26	probier	236
2026-06-26	support	493
2026-06-26	wiki4d	6566
2026-06-27	buecher	6685
