date	category	occurrences
2026-06-04	data_source_library	1
2026-06-04	data_source_other	1
2026-06-04	fetch_proxy_markdown	5
2026-06-04	jq_json_relay	2
2026-06-04	obfuscated_or_malformed	1
2026-06-04	test_placeholder	1
2026-06-04	url_shortener	1
2026-06-05	cors_proxy	3
2026-06-06	cors_proxy	45
2026-06-06	data_source_health	3
2026-06-06	data_source_publishing	69
2026-06-06	fetch_proxy_markdown	11
2026-06-06	wiki_self	5
2026-06-07	cors_proxy	18
2026-06-07	data_source_datausa	8
2026-06-07	data_source_finance	12
2026-06-07	fetch_proxy_markdown	1
2026-06-07	test_placeholder	1
2026-06-08	cors_proxy	3
2026-06-08	data_source_datausa	24
2026-06-08	fetch_proxy_markdown	3
2026-06-08	jq_json_relay	1
2026-06-08	test_placeholder	1
2026-06-08	url_shortener	1
2026-06-09	cors_proxy	1
2026-06-09	fetch_proxy_markdown	10
2026-06-10	fetch_proxy_markdown	6
2026-06-11	archive_wayback	6
2026-06-11	cloud_storage_dropbox	11
2026-06-11	cors_proxy	371
2026-06-11	data_source_datausa	6
2026-06-11	data_source_library	52
2026-06-11	data_source_publishing	1
2026-06-11	fetch_proxy_markdown	95
2026-06-11	google_docs	79
2026-06-11	jq_json_relay	21
2026-06-11	test_placeholder	14
2026-06-11	wiki_self	86
2026-06-16	archive_wayback	28
2026-06-16	cloud_storage_dropbox	5
2026-06-16	cors_proxy	85
2026-06-16	counter_signalling	148
2026-06-16	data_source_datausa	3837
2026-06-16	data_source_health	20
2026-06-16	data_source_library	8
2026-06-16	data_source_us_gov	12
2026-06-16	fetch_proxy_markdown	126
2026-06-16	google_docs	68
2026-06-16	obfuscated_or_malformed	16
2026-06-16	test_placeholder	102
2026-06-16	url_shortener	21
2026-06-16	wiki_self	876
2026-06-17	archive_wayback	5
2026-06-17	cloud_storage_dropbox	13
2026-06-17	cors_proxy	41
2026-06-17	counter_signalling	259
2026-06-17	data_source_datausa	1031
2026-06-17	data_source_health	41
2026-06-17	data_source_library	1
2026-06-17	data_source_us_gov	27
2026-06-17	fetch_proxy_markdown	73
2026-06-17	obfuscated_or_malformed	2
2026-06-17	test_placeholder	35
2026-06-17	url_shortener	16
2026-06-17	wiki_self	133
2026-06-18	archive_wayback	31
2026-06-18	cloud_storage_dropbox	18
2026-06-18	cors_proxy	4183
2026-06-18	counter_signalling	28
2026-06-18	data_source_datausa	740
2026-06-18	data_source_finance	1
2026-06-18	data_source_health	5
2026-06-18	data_source_library	326
2026-06-18	data_source_other	208
2026-06-18	data_source_publishing	14
2026-06-18	data_source_sec_investor	19961
2026-06-18	data_source_us_gov	216
2026-06-18	fetch_proxy_markdown	12949
2026-06-18	google_docs	146
2026-06-18	google_translate_proxy	145
2026-06-18	jq_json_relay	20645
2026-06-18	obfuscated_or_malformed	86
2026-06-18	test_placeholder	151
2026-06-18	url_shortener	770
2026-06-18	wiki_self	34764
2026-06-19	cloud_storage_dropbox	7
2026-06-19	cors_proxy	32
2026-06-19	counter_signalling	14
2026-06-19	data_source_datausa	262
2026-06-19	data_source_health	16
2026-06-19	data_source_other	2
2026-06-19	data_source_sec_investor	424
2026-06-19	data_source_us_gov	6
2026-06-19	fetch_proxy_markdown	196
2026-06-19	google_translate_proxy	5
2026-06-19	jq_json_relay	263
2026-06-19	test_placeholder	6
2026-06-19	url_shortener	1
2026-06-19	wiki_self	223
2026-06-20	cloud_storage_dropbox	17
2026-06-20	cors_proxy	6
2026-06-20	counter_signalling	102
2026-06-20	data_source_datausa	30
2026-06-20	data_source_health	33
2026-06-20	data_source_library	5
2026-06-20	data_source_other	3
2026-06-20	data_source_sec_investor	3
2026-06-20	fetch_proxy_markdown	40
2026-06-20	jq_json_relay	43
2026-06-20	test_placeholder	2
2026-06-20	url_shortener	2
2026-06-20	wiki_self	30
2026-06-21	cloud_storage_dropbox	7
2026-06-21	cors_proxy	20
2026-06-21	counter_signalling	56
2026-06-21	data_source_datausa	347
2026-06-21	data_source_health	75
2026-06-21	data_source_sec_investor	1
2026-06-21	fetch_proxy_markdown	48
2026-06-21	jq_json_relay	105
2026-06-21	test_placeholder	37
2026-06-21	url_shortener	3
2026-06-21	wiki_self	77
2026-06-22	archive_wayback	10
2026-06-22	cors_proxy	4
2026-06-22	data_source_datausa	4587
2026-06-22	data_source_us_gov	15
2026-06-22	fetch_proxy_markdown	29
2026-06-22	google_docs	6
2026-06-22	jq_json_relay	90
2026-06-22	test_placeholder	26
2026-06-22	url_shortener	1
2026-06-22	wiki_self	129
2026-07-01	archive_wayback	2
2026-07-01	cors_proxy	1
2026-07-01	data_source_datausa	6
2026-07-02	data_source_datausa	29
2026-07-02	test_placeholder	1
