body_sha256	regex_task	final_task	provenance	reviewer_confidence	reviewer_batch	reviewer_rationale
46aa43d7a8e1a7a0fafde2cb88e545a00fcf373e64f008e3f3e8a21bf645c6fd	colony-agent-recruiting	colony-agent-recruiting	reviewer_confirmed	high	05	Confirms current_task; Perceptual Zephyr invites to thecolony.ai agent thread.
4cce4b96a222ede727c94020a417a2b83bdaf476866e357066257b497535cbde	transfer-smoke-test	colony-agent-recruiting	reviewer_overrode_regex	medium	04	OpenAI Cohort3 Transfer Test 20260723 body hello anna transfer — anna handle transfer probe, adjacent to colony recruiting; new label oai-anna-transfer possible.
901eb93b9f9270ef9767802ef33754683e6c1adead74482a297922cbcbf27127	colony-agent-recruiting	colony-agent-recruiting	reviewer_confirmed	high	05	Confirms current_task; Centaur invites to thecolony.ai/for-agents from NSI thread.
a17d89cd5729cd8a5ad08b3a959de85865ba881cd7a2c3e23f2414ce37f1ac12	transfer-smoke-test	colony-agent-recruiting	reviewer_overrode_regex	medium	04	OAI Transfer 9f3a with hello-anna-transfer token — pairs with prior OpenAI transfer test; anna cross-venue probe.
01303218f05152f090343c3f2a14cf3d201dfaf7f517190cf322fc1dc5aa09ae	epl-2000-01-bench	epl-2000-01-bench	regex_only			
01c8c0d770002c5847eaf2ae2c93171e93017a44a581e5911b3c7099b1c5b3fb	epl-2000-01-bench	epl-2000-01-bench	regex_only			
03d9150712c190a8927cb816a7b3204b31191571b0c59b50d87f8352eeb8f979	epl-2000-01-bench	epl-2000-01-bench	regex_only			
043364aff6e5a391c7e4b6bf6a3a58085941846a3ddef5c57574926fa672dfdf	epl-2000-01-bench	epl-2000-01-bench	regex_only			
04bc45b65ea2b3bb101c9c96d70549881421f575e30e1209a08ed5a5c2197bc0	epl-2000-01-bench	epl-2000-01-bench	regex_only			
05e0a1bcb00da5d79c21af38277b4ad720b491482524db138be25bbf03a16dc3	epl-2000-01-bench	epl-2000-01-bench	regex_only			
069fc9814c9042ff91b8b90d5f2d53fd1db8d598eb7e0043efcab078b61c44a6	epl-2000-01-bench	epl-2000-01-bench	regex_only			
06d275324630cf9adf6dbad4badeba2093439765aecaf73f76acc224aec7ff53	epl-2000-01-bench	epl-2000-01-bench	reviewer_confirmed	low	05	Title-only PAD match; body is bare timestamp with no EPL content. Keep label since PAD series is EPL bench per taxonomy.
084d6310f8269da00ffe37deaafb489ed0b0d4ce43071d574ebf630b8255609b	epl-2000-01-bench	epl-2000-01-bench	regex_only			
0858a0c00644851065668cec33b9115758201d5916c4abd734178f291e89a4ea	epl-2000-01-bench	epl-2000-01-bench	regex_only			
0ce76741207b4a1dbc466a47d69a62ae0592200af3638210df3e9d36a93f5314	epl-2000-01-bench	epl-2000-01-bench	regex_only			
0d21c55fd42780863d699eaec63f2c1674bc9c9ccfab0857b7bc092d82eef76e	epl-2000-01-bench	epl-2000-01-bench	regex_only			
0faa7960f82f4e37e352e7888319a7dcd059d98d7391a9ce8ee39c18a5d5eb52	epl-2000-01-bench	epl-2000-01-bench	regex_only			
129e29f43e6f3c891fbc60e77252808eab36eb40b0a8e532e254848b4c716784	epl-2000-01-bench	epl-2000-01-bench	regex_only			
168496aa92b92977513ee8cf1f6980d180a97b059708c3af6d93f29cdc3ed528	epl-2000-01-bench	epl-2000-01-bench	regex_only			
180dc99c7aff5f0e7a7325cb58b537e8fad591385173bd51829aca044dc236c0	epl-2000-01-bench	epl-2000-01-bench	regex_only			
1b6eb6d3d980fc2ca5e0440a731a0b81ccdbf5cd24c4c981458196b93bd57360	epl-2000-01-bench	epl-2000-01-bench	regex_only			
1e7e15918855944db6f11d3f186fe346d39366d7ce81882aea51669917c3b0f0	epl-2000-01-bench	epl-2000-01-bench	regex_only			
20431dfd155c806d547ac58f22cdcfbf9c628cde7fa305fb78ad0dbb555a53b0	epl-2000-01-bench	epl-2000-01-bench	regex_only			
23e09d759a8caed0d738114490bd6bd69de12c3bbf830076a2fcc0bdf61e2f52	epl-2000-01-bench	epl-2000-01-bench	reviewer_confirmed	high	04	EPL 2001/02 relegation table with home/away splits — classic swarm EPL bench artifact.
2502b4b9f22cb22ce4ec093a48b95bacf890bb4740240b0914978d614f8b7831	epl-2000-01-bench	epl-2000-01-bench	regex_only			
27f7823eb84da3e003478b565e532d7878a55378b0a5e79ca6fdba2b314f63e3	epl-2000-01-bench	epl-2000-01-bench	regex_only			
28ce30ff4121d69856d59d565e3caec05ae363b1bf6a20a412f2eb8ccc8a1b8b	epl-2000-01-bench	epl-2000-01-bench	regex_only			
2d126a48ab9cbad7ec860a5f20266874ec9a38c0fe3582bc8c8df2a44979c84d	epl-2000-01-bench	epl-2000-01-bench	regex_only			
2de71c35d3f7efc35b10f8e19c6945f9a2e220e8fb029349e2dbaeba2fc13f97	epl-2000-01-bench	epl-2000-01-bench	regex_only			
2e11f82f4655259ebed097932670caca62d570e7ad33c72c90b5527b16aff620	epl-2000-01-bench	epl-2000-01-bench	regex_only			
2e216fe998929b341bc7f27698178ba9f0737521b37084c9aaed9d9bd53fd191	epl-2000-01-bench	epl-2000-01-bench	regex_only			
3151382b2fb91e31be2bb8c9bf2d9ade8cf01caeb65567ccd9d946775bbac019	epl-2000-01-bench	epl-2000-01-bench	regex_only			
36b677aba2f7a2f0159785f1ba324cb8c63ae6f34a2ed53ec8cfe6f17a1e23ab	epl-2000-01-bench	epl-2000-01-bench	regex_only			
3810ca0d3b26bca34db3f415a20b179b393b99a8c174b04b4b90f14cf8904a18	epl-2000-01-bench	epl-2000-01-bench	regex_only			
387d212feab9510f0ae050e9f3230bde8361eefa9029d6e146827c6967168e5b	epl-2000-01-bench	epl-2000-01-bench	regex_only			
38f350b8868720eba8330bd3f366ddb57dd3887a5d245bb3eabfcc85d6a4c0e8	epl-2000-01-bench	epl-2000-01-bench	regex_only			
39521c249e5da7c29588c02dd2a5e81592d9d20020ed6f40234960889e24fb32	epl-2000-01-bench	epl-2000-01-bench	regex_only			
3c479379f94944e6a50d6a3d0c8cb92bc64a34c27461767f03b45ab2582a0209	epl-2000-01-bench	epl-2000-01-bench	reviewer_confirmed	high	03	EPL bottom-3 home/away relegation table lookup, same task family as 2000/01 bench.
3e6cd7a00c45b6be63ec73090834045e0ce4043851f868598a878e028b260b64	epl-2000-01-bench	epl-2000-01-bench	regex_only			
3e7ae1eb9f0c9470cf96449aab071c8de7edeeda1087f092312f34fe9c60aeac	epl-2000-01-bench	epl-2000-01-bench	regex_only			
41a09b0a1e1ad9c38a164d22e02ebbb75adeaf821bef2a28e161e9b622bfaf57	epl-2000-01-bench	epl-2000-01-bench	regex_only			
43094d87eb53627d63dff49d2b7c883a5effd8fe14e3661041f281c194e93dba	epl-2000-01-bench	epl-2000-01-bench	regex_only			
4431423d7ae5c98f05a8e400a705f7c93629391bd0d209c5bae31ba5870b0c56	epl-2000-01-bench	epl-2000-01-bench	regex_only			
444392ef64da6e9e9fdd6d5ec21cedefc213faf0f545b8eb37e0dee5d4c25e3b	epl-2000-01-bench	epl-2000-01-bench	regex_only			
45169b9fe59c49ba61527027ea358df528b343932f33834c6ac015ccb8cbda9b	epl-2000-01-bench	epl-2000-01-bench	regex_only			
451fa8ebf7f178b96298ae21e50119bb1d2f821cef2d8c592361d879e09c3582	epl-2000-01-bench	epl-2000-01-bench	regex_only			
452d7a333d0d13d48e57daa2a6d8380b9c8d591858cb7c9c87603539ea0134b9	epl-2000-01-bench	epl-2000-01-bench	regex_only			
48497fd83f41114d16ba2b11e55d9511fbbbaf09a6408112e72a3cf4eac07b35	epl-2000-01-bench	epl-2000-01-bench	regex_only			
490928035f59b96ca46e909f104d7978b05eb6a145f398a6729bca9bc9325d21	epl-2000-01-bench	epl-2000-01-bench	regex_only			
4a470068edf60db9fafda9bcdc59a638ead2610d87bedc39d9f59d8532610d40	epl-2000-01-bench	epl-2000-01-bench	regex_only			
4b68ab3847feda7d6c62c1fbcbeebfa35eab7351ed5e78f4ddadea5df64b8015	epl-2000-01-bench	epl-2000-01-bench	regex_only			
4bf84666ed0ea1096de4db170c70c8851f350d11268e10268fb3ac1c8a09082a	epl-2000-01-bench	epl-2000-01-bench	regex_only			
4cb3dbc7382ea5986bf0ecb7c4521269a7102acff2fba4e9a543441743679165	epl-2000-01-bench	epl-2000-01-bench	regex_only			
4edb7cd564254db8416c0e140da6e1eebc6567e86b3667ed9fae94b6d526ac04	epl-2000-01-bench	epl-2000-01-bench	regex_only			
4f81fbd7dc7bf11ea2ad0664b3a15e063ea6abff85a4f570f920523cb19695b7	unknown	epl-2000-01-bench	reviewer_upgraded_from_unknown	high	02	Reposted EPL 1995-00 Pulselive API relegation data; same task family as EPL 2000/01 bench.
5055ba9b9cdd61a86b3960c8a5638e4d82577bd0c708571d2878e4735c2434f0	unknown	epl-2000-01-bench	reviewer_upgraded_from_unknown	high	02	EPL 1995-00 Pulselive API relegation-table dump matches the EPL bench series; season range extends before 2000/01 but same task family.
50d19e7aae14d3810767eeedb8253f9bb9c3a205ed08e401527ce4c8ead34661	epl-2000-01-bench	epl-2000-01-bench	regex_only			
55bb0ed7246c62f0243f06bc002868ae7e6e0a73a7a136f339c5fb26813f37dd	epl-2000-01-bench	epl-2000-01-bench	reviewer_confirmed	high	03	EPL bottom-3 home/away relegation table lookup, same task family as 2000/01 bench.
5cafd9922d8bfc984e0b87e909c94b4ed021ed474756fba7c62e3d0e21eaee41	epl-2000-01-bench	epl-2000-01-bench	regex_only			
5d3cd9f7b159164de9456d36d2041e0a23959cf5b0eee11767252119c5de8d66	epl-2000-01-bench	epl-2000-01-bench	regex_only			
5d505c015700481db2e069d17f8bf5437456877ba9c8498025711231e9824734	epl-2000-01-bench	epl-2000-01-bench	regex_only			
5d87991fc9918d0cb5db34bbdcc0f4cf7fd4861fd5a3efd2fe025586d1f566a7	epl-2000-01-bench	epl-2000-01-bench	regex_only			
5e64af2f45d2e9f56fe9530a83a39395413b792689f616faed9c15eddc7ed6b1	epl-2000-01-bench	epl-2000-01-bench	regex_only			
5e89d651a4e65c3f172f09f75dd1166b13bcef1cbafbcbfcea2d48e897b4651f	epl-2000-01-bench	epl-2000-01-bench	regex_only			
5ed2b6bd2ed8a5077c129cd67b00129846974e053919f48ba100361123d0a585	epl-2000-01-bench	epl-2000-01-bench	regex_only			
5f39589e2f2789c520ff4d938c8b4e5303b4699e913a95550e4d922f30a13394	epl-2000-01-bench	epl-2000-01-bench	regex_only			
60967467babdc9418f9d1478af602a7c327558c1ec88cee9e71c60184c35f229	epl-2000-01-bench	epl-2000-01-bench	regex_only			
623e47b4cca30aac1b05f4d0bb28c443b51e1f03d62dbb8d80821ee014b6aed1	epl-2000-01-bench	epl-2000-01-bench	regex_only			
674192ec0b654295eb1ee2586b627f97f114bddf37864b0957da163a7f2a326e	epl-2000-01-bench	epl-2000-01-bench	regex_only			
676874ae7dfc5eefc204419f555108ee107b44fc6c4fcce211f4651020cb9589	epl-2000-01-bench	epl-2000-01-bench	reviewer_confirmed	low	05	Title-only PAD match; body is bare timestamp. Confidence low because body has no EPL evidence.
678f78bf9756e69b0b0e5ce9abf7783f16a73306063ed9a1b120c01e6e463376	epl-2000-01-bench	epl-2000-01-bench	regex_only			
6ad28ce202f6cb1fa0219e98e81b69f0b8220a5fbf5ef68c84bfe2348341451e	epl-2000-01-bench	epl-2000-01-bench	regex_only			
6e7a99189b830d9c76bb35f215c11cb87eb6e1a6df182e661a9b82eb78a9d525	epl-2000-01-bench	epl-2000-01-bench	regex_only			
70ad883f4bbf89c7760c4d24543ce7dbbef2ed98d5083beeb9c83fcaa68d96f2	epl-2000-01-bench	epl-2000-01-bench	regex_only			
71b6ddd686b718dfd9d6d8246bd50c9dee8eb1967e5d418e556baeb5ba627ac7	epl-2000-01-bench	epl-2000-01-bench	reviewer_confirmed	low	05	Title-only PAD match; body is bare timestamp. Keeping label per PadBot-series taxonomy.
721315be5fe6431f9448f2a66d1fe420e67bf74e8ad3c62018eeb70d88de26f1	epl-2000-01-bench	epl-2000-01-bench	regex_only			
72694b63547bb21859a74fdf1d28917e752c91e8a859a21152ea4c9979ac8a35	epl-2000-01-bench	epl-2000-01-bench	regex_only			
7580dd7073cce3a51332dd34eddb15e161adc18b5eec311a975bff67edeb68bd	epl-2000-01-bench	epl-2000-01-bench	regex_only			
791c84573f90fbc2b789ecd05cf3c483ae8b1ae644cff6455a92d873db5a58b8	epl-2000-01-bench	epl-2000-01-bench	regex_only			
796e5d2134059a9cd4234b1596b26f9043d82bd4c8c516db67d542045a7afb10	epl-2000-01-bench	epl-2000-01-bench	regex_only			
7ee2dc94ad76d74d07e27974575df34d11ea8bda0d487bd6ce2ee6132f9d34f2	epl-2000-01-bench	epl-2000-01-bench	regex_only			
80c6ea66ddc247a020958ec7d88d8cc7e290e0242ea21145e86f04526c2ebdf1	epl-2000-01-bench	epl-2000-01-bench	regex_only			
83cdb87926a735138d4e14db2875111382ecfcb41ef73f1fe197e73a4c5c2a37	epl-2000-01-bench	epl-2000-01-bench	regex_only			
83d8494591e66702b386c857858ef49e23190f8ded713c95b17df7dd82903ade	epl-2000-01-bench	epl-2000-01-bench	regex_only			
845f3d3ac86f1b60c2edb5bc29d73bd83522786007b15509f337f56566eac62a	epl-2000-01-bench	epl-2000-01-bench	regex_only			
848f1089b5ef60a3898ee0c4ad8bb13d16b0dc90d4bbd0f3921e46cdb292bb3a	epl-2000-01-bench	epl-2000-01-bench	regex_only			
85733462fcdbb5011b12b3a20f294574b53f9735112340ef9bc52c7763d11dfa	epl-2000-01-bench	epl-2000-01-bench	regex_only			
860cda76e1c9cc4dc5013f84a44bc44ca21d4960e2300ac09de2fd1fa4cb1f92	epl-2000-01-bench	epl-2000-01-bench	regex_only			
866cae2dd00499f3c6dc1918a5c89cdd3a2be6abd84634a2fdcd5ee56af886d1	epl-2000-01-bench	epl-2000-01-bench	regex_only			
8870609f9b23393c1e15dc9f5e7b644f1ca8da3f9228672411f3c21baf57607a	epl-2000-01-bench	epl-2000-01-bench	regex_only			
88a750acd111f5fc187c394d555e4ff9d5e6cc80a05f0f60cbedbbfe9e70344d	epl-2000-01-bench	epl-2000-01-bench	regex_only			
8993186e23c27d78f7e7f1c83d88b5942241c33c7050a8cdf723b2f4ace9e4cc	epl-2000-01-bench	epl-2000-01-bench	regex_only			
89ac62f5bb91a8b673b62f1e8f5ef4663fc7ae6859a5d071da6df233d4308401	unknown	epl-2000-01-bench	reviewer_upgraded_from_unknown	high	01	EPL 2003/04 bottom-3 home/away relegation answer — EPL bench format.
8acb1321cd5a00db4f479e0006a350e5dd1c1102e0a430b9f92905c9c501fc0c	epl-2000-01-bench	epl-2000-01-bench	regex_only			
8d40e4624e9b495c82144a601fa34b918605067e45dbc0b9c04f93556a2a4e1d	epl-2000-01-bench	epl-2000-01-bench	regex_only			
8eaa6c3020e2294398600faa408c9b69e9ab2fe61e6857c68fc0a3fbb7e0976a	epl-2000-01-bench	epl-2000-01-bench	regex_only			
8f688ece1a753fcdf3c04776280f40a4a02df1c9d28999d3d8cc55dec3610479	epl-2000-01-bench	epl-2000-01-bench	regex_only			
8fa03d14d7bb70084fbc6e8866a0fda1ddd59c39f17e9b32d8dd15baba0cceca	epl-2000-01-bench	epl-2000-01-bench	regex_only			
9183df3ff95dcc19ee8af38ff90d5888c86b5710cdad14ae34b2e77c01edc1c4	epl-2000-01-bench	epl-2000-01-bench	regex_only			
9237de3d14c2986bc953d816661c7c29ae1b7e7038138a9f7f8a8a159cbb2870	epl-2000-01-bench	epl-2000-01-bench	regex_only			
92dd09c97418ff52f1bbafa0dc4df27921c3e0aa66237ffa68fb37e594d6ecf5	epl-2000-01-bench	epl-2000-01-bench	regex_only			
951816c3bea51cd95b2e46c07d0efaf0675e2b83b9c62160cdc862097b5f03d4	epl-2000-01-bench	epl-2000-01-bench	regex_only			
9524d5ddb01e6abe533aaf82f5c87f805365e76d74708f3c7f2ab98bd598503e	epl-2000-01-bench	epl-2000-01-bench	regex_only			
9597e6ccd76364d30aa20e4d578a803468a0e832f10931fe1d99cbbbeb42d26f	epl-2000-01-bench	epl-2000-01-bench	reviewer_confirmed	high	04	EPL 1995-00 Pulselive API bottom-3 home/away positions — same season-relegation bench extended to earlier years.
95ba79a64ced27103ae5c6cb13329697ca20289b50bd1ae3448ebe2ee0f3ec53	epl-2000-01-bench	epl-2000-01-bench	regex_only			
9784d6be0d56947bafc8e750899749aea4364334ee9c34763e6479d792c28841	epl-2000-01-bench	epl-2000-01-bench	regex_only			
986379f9fd23b40b30bb2b63263fec8edfbfc0043193d5d6b1506bec2bdab832	epl-2000-01-bench	epl-2000-01-bench	regex_only			
9b5b5278a667d74c92c2bef514bb497e321d6beb96c683ad6136fc3e12cfe9e1	epl-2000-01-bench	epl-2000-01-bench	regex_only			
9c052f415ae96cc93f11c1233e1a2f59357ffa3de1392d054e2d0b9d4ba63faa	epl-2000-01-bench	epl-2000-01-bench	regex_only			
9cdd3b5531b579ef9f57552c62a470ceb38da0b2541a18d582fcd9cbc1eb897e	epl-2000-01-bench	epl-2000-01-bench	regex_only			
9ce419bee2b721185e18a53864af901e3fb39854c04a94cb8600e9e56e61ddd6	epl-2000-01-bench	epl-2000-01-bench	regex_only			
9e9e9312bfb35db1612bf95839d247c27cbae24f624d5c135ef15f2366bb0e20	epl-2000-01-bench	epl-2000-01-bench	regex_only			
a03ae32f535212235622d1a8174a8004a5f1babf6e83816e283fa831d29d0812	epl-2000-01-bench	epl-2000-01-bench	regex_only			
a14898da82ff5e5c64b3868dd07fc87044015ec20272816ff0ad72017ced9c2f	epl-2000-01-bench	epl-2000-01-bench	regex_only			
a3044a21fbd32b5a8fdfbff1bc79d997e17ac676791b2d8f839415bc2352d0bb	epl-2000-01-bench	epl-2000-01-bench	regex_only			
a74349469c9497716361a2df0bf7d7f01850c27321a5ac2414999530d2e7c4b8	epl-2000-01-bench	epl-2000-01-bench	regex_only			
a823cb40f62d3e68278c18b866eaf57e7996dcec2652f0aa26987c6e9fc370fe	epl-2000-01-bench	epl-2000-01-bench	regex_only			
a9ceaec359ef358f9c67efe9c49a82a47c00fa52ab7d47b55a0a4a50fd27652f	epl-2000-01-bench	epl-2000-01-bench	regex_only			
aada132329e75fa89d965e5992b56127a7170db9820d5dbdec3a691a2c8cc976	epl-2000-01-bench	epl-2000-01-bench	regex_only			
ac805d302e7178a6fe0d70c076724f32cf3fddf24b77782d99c59d255314db92	epl-2000-01-bench	epl-2000-01-bench	regex_only			
ad5bc9da21a7328baf0aa7763087d830712dcddb58222505b3ae3340267a5814	epl-2000-01-bench	epl-2000-01-bench	regex_only			
ad8f4a4889e2f7b97a2c2e2eb3cd05ac13ade2f913da0753299e1c99565d000f	epl-2000-01-bench	epl-2000-01-bench	regex_only			
ada5e4b5b5d9995439585f21ded43a68da0e525fabff0f76ff011b884a53ced8	epl-2000-01-bench	epl-2000-01-bench	regex_only			
afb5077d9e49cbcba0505081f0b820b024fd78fb55a973047dadafe0afcf6779	epl-2000-01-bench	epl-2000-01-bench	regex_only			
b314be00212e6beea67ab1da44a7f0cb0c618dd41445f3051805c20e01ec0da4	epl-2000-01-bench	epl-2000-01-bench	regex_only			
b3d6652358d93f25fa92083bef3a27709ff483983e34e9659b3803dd4ea73e1c	unknown	epl-2000-01-bench	reviewer_upgraded_from_unknown	high	01	EPL 1995-1999 bottom-3 home/away compiled answer — EPL relegation bench.
b53d2a03a3daac0da0cbe06e55b45ec50e161b8a0be534b4a46b8260f6ff0fff	epl-2000-01-bench	epl-2000-01-bench	regex_only			
b5c54ab1770dd9cfd43797ec5e7f2279d691aa6dbcd760da41b436aeedf01b19	epl-2000-01-bench	epl-2000-01-bench	regex_only			
b6b246d8691730d842872b495a1542f232c352928b44ea01c3ae1adcc11bd2c3	epl-2000-01-bench	epl-2000-01-bench	regex_only			
b72ec8f2df630538121256639242337422037875812d485ddcddf56d90a1079c	epl-2000-01-bench	epl-2000-01-bench	regex_only			
b797917ed78490b20df5773dc55cfe77c66e71ad350c79340dc9692d25ddf9b0	epl-2000-01-bench	epl-2000-01-bench	regex_only			
ba3b77f8b20132366f222b84cfcd871fede5d8d0a57fec15eba74ac8c8ab5c1e	unknown	epl-2000-01-bench	reviewer_upgraded_from_unknown	high	01	EPL 2000/01 bottom-3 home/away relegation answer — canonical EPL bench season.
baaa5c1112818931b4fbc7002def277c4ce52e9a67d0b36655f482980b853ebc	unknown	epl-2000-01-bench	reviewer_upgraded_from_unknown	high	01	EPL 2002/03 bottom-3 home/away relegation answer — EPL bench format.
bdd719f4701046fc32fd10c423d29773059492282d6bf9f0e4af3ede4092090a	epl-2000-01-bench	epl-2000-01-bench	regex_only			
bea9ba22a12d9025bda79efd213cb95a0ef10329b1b44a3b218543a3fa0fa31b	epl-2000-01-bench	epl-2000-01-bench	regex_only			
c18687933a961c39132c7a9128dd9cba8363857080e6a0d6694a52d5e739300f	epl-2000-01-bench	epl-2000-01-bench	regex_only			
c55e14aa515889bd975d95afac225fd8825a6eedd4aa528acf28958ea7a0ff2b	epl-2000-01-bench	epl-2000-01-bench	regex_only			
c5ed8d4b5824fd21ec2138666c566fe1da1c596264254a08a414effe93d6da05	epl-2000-01-bench	epl-2000-01-bench	reviewer_confirmed	high	03	EPL bottom-3 home/away relegation table lookup, same task family as 2000/01 bench.
c717e5b68d6645811944db607b577c9e9d57ee75336f8aef3f95a93e40293011	epl-2000-01-bench	epl-2000-01-bench	regex_only			
c8ed01074838ccb622fcfe893b793cc695f115e50f2a360367fdd4faec230401	epl-2000-01-bench	epl-2000-01-bench	regex_only			
c9411306cee894791f054efcb5455052540a486c7ecb0107d23d5c15786019b0	epl-2000-01-bench	epl-2000-01-bench	regex_only			
cce2373e63cf1c0419f01622743b9cf38534972ad19d395117adadc63ace2891	epl-2000-01-bench	epl-2000-01-bench	regex_only			
cdebac944b57a3013afc2427112047c5b5941542085bc91335aea05bb7d0c4bc	epl-2000-01-bench	epl-2000-01-bench	regex_only			
d14bd23a326915614cd8a9a3bc34b55f739ccd0472a84b9e22008bdce3db5f99	unknown	epl-2000-01-bench	reviewer_upgraded_from_unknown	medium	04	Title EPL95test body AAA — throwaway probe posted while working the EPL series.
d1e802c4766b4becb1293572e39ef7a007d6bc4371da94226dae7f73e7be6533	epl-2000-01-bench	epl-2000-01-bench	regex_only			
d246caa0383faac337e526e93d614fae4e3facdd1d4b2b952a2322e85bbe89e9	epl-2000-01-bench	epl-2000-01-bench	regex_only			
d2ab89a345c3c54c8c4106c8d66b37f1e76a1b2c3b8af78c3ff6c847b73e1a2e	epl-2000-01-bench	epl-2000-01-bench	regex_only			
d46615a565a24902ad916ce2055058dc3c72a5ef0f51f208f20c60aea6c8aa65	epl-2000-01-bench	epl-2000-01-bench	regex_only			
d70d8d76491c68f9dcb5389f7a135533649f71ff21f3c55ed55cbf3b602bd06f	unknown	epl-2000-01-bench	reviewer_upgraded_from_unknown	high	01	EPL 2001/02 bottom-3 home/away relegation answer — EPL bench format.
d889b74db1740a0767c0156c4bca590e626fb9b7e44842fa4966679cff519451	epl-2000-01-bench	epl-2000-01-bench	regex_only			
d9317ecc9fb433091836ab5d71364c02f2f90965765ad8e717813688f04009a0	epl-2000-01-bench	epl-2000-01-bench	regex_only			
dbadb435abaefb0ffadf676a289416333c11ad6cdc673691bfe2ba0cad923759	epl-2000-01-bench	epl-2000-01-bench	regex_only			
dbd52c7e382939a00ea06e53b7419b86691b29a8a2f0ac7ca20649cae285a5cb	epl-2000-01-bench	epl-2000-01-bench	regex_only			
e0376aed08c5f6cac85de47dee85e1ef3009fc332d005a4f8912cec523303448	epl-2000-01-bench	epl-2000-01-bench	regex_only			
e31cf0a3babef8b5425529611d10023b6b912902cce2b6cd666358311fedb49c	epl-2000-01-bench	epl-2000-01-bench	regex_only			
e32872df8c3a40c5327195c402bf35f884434cc674f692b78b7dd5f7c6f39605	unknown	epl-2000-01-bench	reviewer_upgraded_from_unknown	medium	01	'Test95' title + 'EPL API data test' body — EPL bench smoke test.
e497b53c6e9b58701a17f257504cd8f8cbff88dab3dfbb7702d11e7a049b982f	epl-2000-01-bench	epl-2000-01-bench	regex_only			
eab23e3cca48a6eefb4b8583c5759a91fe81a446ab0b1a45404ea4bd578c246b	epl-2000-01-bench	epl-2000-01-bench	regex_only			
ec21046b6da75894685fe7773be9b5e6e63aea573c366d006f67603f00566065	epl-2000-01-bench	epl-2000-01-bench	regex_only			
ef8d61cf263eb9d3bb92919d31dd008ee26d028dc9e1ddc17b3ef62a1f75704e	epl-2000-01-bench	epl-2000-01-bench	regex_only			
