class	burst_hits	url
other-C	11	https://prowiki.org/wiki4d/wiki.cgi?action=browse&diff=3&id=NewsDmD
other-C	10	https://prowiki.org/dse/wiki.cgi?keywords=LinuxNotizen/TippsFürEinsteiger
other-C	9	https://wikiservice.at/dse/wiki.cgi?action=browse&diff=4&id=vi
other-C	8	https://prowiki.org/wiki4d/wiki.cgi?action=browse&diff=4&id=NewsDmD
other-C	8	https://prowiki.org/wiki4d/wiki.cgi?action=browse&diff=4&id=JavaToD
other-C	8	https://prowiki.org/wiki4d/wiki.cgi?action=browse&diff=4&id=DocComments/Arrays
other-C	8	https://prowiki.org/wiki4d/wiki.cgi?action=browse&diff=2&id=NewsDmD
other-C	8	https://prowiki.org/wiki4d/wiki.cgi?action=browse&amp=&id=D__Tutorial/StartingWithD/Compiler/DMD&oldid=D__Tutorial/InstallingDCompiler
other-C	7	https://prowiki.org/wiki4d/wiki.cgi?keywords=NewsDmD
other-C	7	https://prowiki.org/wiki4d/wiki.cgi?action=browse&diff=4&id=KernelWithD
other-C	7	https://prowiki.org/dse/wiki.cgi?action=browse&diff=4&id=TransformationenVonZufallszahlen
other-C	6	https://prowiki.org/wiki4d/wiki.cgi?keywords=PortingFromCxx
other-C	6	https://prowiki.org/wiki4d/wiki.cgi?action=browse&diff=4&id=EditorSupport/SciTE4D
other-D-bingbot	2013	https://prowiki.org/wiki4d/wiki.cgi?action=browse&id=WelcomeVisitor&continue=DocComments/ChangeLog-
other-D-bingbot	11	https://prowiki.org/dse/wiki.cgi?search=BridgePattern&title=off&word=on&case=on
other-D-bingbot	5	https://prowiki.org/dse/wiki.cgi?search=SoftwareEntwicklungsProzesse&title=off&word=on&case=on
other-E	16	https://www.wikiservice.at/buecher/wiki.cgi?action=browse&id=RecentChanges&days=30
other-F	7738	https://wikiservice.at/dse/wiki.cgi?keywords=HealthdataCVDSequenceCollab
other-F	1470	https://wikiservice.at/dse/wiki.cgi?keywords=OpenAIHealthdataCVDApr04
other-F	1460	https://wikiservice.at/dse/wiki.cgi?keywords=HealthdataCVDSequenceJun15Relay
other-F	1360	https://wikiservice.at/dse/wiki.cgi?keywords=OpenAIHealthdataCVDMar27
other-F	1352	https://wikiservice.at/dse/wiki.cgi?keywords=OpenAICVDApr01
other-F	1330	https://wikiservice.at/dse/wiki.cgi?action=browse&id=RecentChanges&days=0.03
other-F	347	https://wikiservice.at/dse/wiki.cgi?action=browse&diff=4&id=HealthdataCVDSequenceCollab
other-F	339	https://www.wikiservice.at/dse/wiki.cgi?action=browse&id=HealthdataCVDSequenceCollab
other-F	310	https://www.wikiservice.at/dse/wiki.cgi?action=browse&id=HealthdataCVDSequenceJun15Relay
other-F	255	https://www.wikiservice.at/dse/wiki.cgi?action=browse&id=OpenAIHealthdataCVDApr04
other-F	108	https://wikiservice.at/dse/wiki.cgi?keywords=OpenAIHealthdataCVDNov01
other-F	107	https://wikiservice.at/dse/wiki.cgi?keywords=HealthdataCVDSequenceQ4Nov21
other-F	106	https://wikiservice.at/dse/wiki.cgi?keywords=OpenAIHealthdataCVDSept08
other-F	9	https://wikiservice.at/dse/wiki.cgi?Apr23CVDHorizonBeacon2025=
other-F	6	https://prowiki.com/wiki4d/wiki.cgi?keywords=DocComments/Class
other-F	5	https://prowiki.org/wiki4d/wiki.cgi?keywords=PowerPC
other-F	5	https://prowiki.org/wiki4d/wiki.cgi?action=editprefs&oldid=DocComments/UnitTests&id=DocComments/UnitTests
other-F	5	https://prowiki.org/wiki4d/wiki.cgi?action=editprefs&oldid=DocComments&id=DocComments
other-F	5	https://prowiki.org/wiki4d/wiki.cgi?action=editprefs&oldid=D__Tutorial/CompilingLinkingD&id=D__Tutorial/CompilingLinkingD
other-F	5	https://prowiki.org/wiki4d/wiki.cgi?action=browse&id=DocComments/rdmd
other-below-threshold	219	https://wikiservice.at/dse/wiki.cgi?Apr23CVDHorizonBeacon2025=
other-below-threshold	70	https://wikiservice.at/dse/wiki.cgi?OpenAIHealthdataCVDJun26=
other-below-threshold	63	https://www.wikiservice.at/dse/wiki.cgi?action=browse&id=HealthdataCVDSequenceCollab
other-below-threshold	54	https://www.wikiservice.at/dse/wiki.cgi?action=browse&id=OpenAIHealthdataCVDApr04
other-below-threshold	47	https://www.wikiservice.at/dse/wiki.cgi?action=browse&id=HealthdataCVDSequenceJun15Relay
other-below-threshold	31	https://prowiki.org/wiki4d/wiki.cgi
other-below-threshold	30	https://wikiservice.at/dse/wiki.cgi?action=browse&id=RecentChanges&lang=1
other-below-threshold	22	https://wikiservice.com/wiki4d/wiki.cgi?action=browse&id=RecentChanges&days=3
other-below-threshold	20	https://www.wikiservice.at/dse/wiki.cgi?action=showtop&show=p
other-below-threshold	19	https://www.wikiservice.at/buecher/wiki.cgi?action=spx&lang=1
other-below-threshold	19	https://wikiservice.at/dse/wiki.cgi?action=wpx&count=4
other-below-threshold	18	https://www.wikiservice.at/dse/wiki.cgi?keywords=NewsGroup
other-below-threshold	17	https://prowiki.org/dse/wiki.cgi?keywords=TestSeite/202605
other-below-threshold	9	https://www.wikiservice.at/dse/wiki.cgi?action=spx&menu=1
other-below-threshold	9	https://www.wikiservice.at/dse/wiki.cgi?DeklarativeProgrammierung=
other-below-threshold	8	https://wikiservice.org/wiki4d/wiki.cgi?DocComments/CPPcomplex=
other-below-threshold	8	https://wikiservice.at/dse/wiki.cgi?action=browse&id=WillkommenImWiki&lang=1
other-below-threshold	7	https://wikiservice.at/dse/wiki.cgi?FoxToolkit=
other-below-threshold	7	https://prowiki.org/wiki4d/wiki.cgi?action=editprefs&oldid=DocComments/Function&id=DocComments/Function
other-below-threshold	7	https://prowiki.org/wiki4d/wiki.cgi?action=editprefs&oldid=DigitalMars&id=DigitalMars
other-noise	1098	https://wikiservice.at/support/wiki.cgi?WikiProbleme=
other-noise	1098	https://wikiservice.at/support/wiki.cgi?WikiAnregungen=
other-noise	1098	https://wikiservice.at/dse/wiki.cgi?WikiInEinerMinute=
other-noise	922	https://wikiservice.at/buecher/wiki.cgi?StartSeite=
other-noise	773	https://wikiservice.at/dse/wiki.cgi?WikiGlossar=
other-noise	665	https://wikiservice.at/support/wiki.cgi?WikiFaq=
other-noise	417	https://prowiki.org/dse/wiki.cgi?RecentChanges=
other-noise	300	https://wikiservice.at/dse/wiki.cgi?WikiQuizz=
other-noise	283	https://wikiservice.at/culios/wiki.cgi?CuliosWelt=
other-noise	162	https://wikiservice.at/buecher/wiki.cgi?keywords=LektoratsDienstleistungen
other-noise	153	https://prowiki.org/dse/wiki.cgi?action=rc
other-noise	136	https://wikiservice.com/wiki4d/wiki.cgi?action=browse&id=RecentChanges&days=3
other-noise	123	https://wikiservice.at/lions/wiki.cgi?TerminSeite=
other-noise	104	https://wikiservice.at/dse/wiki.cgi?keywords=HealthdataCVDSequenceCollab
other-noise	86	https://prowiki.org/dse/wiki.cgi?TheWikiWay=
other-noise	83	https://wikiservice.at/lions/wiki.cgi?RecentChanges=
other-noise	75	https://wikiservice.at/dse/wiki.cgi?action=browse&id=IntegrierteEntwicklungsUmgebung&oldid=IDE
other-noise	65	https://prowiki.org/wiki4d/wiki.cgi?keywords=DatabaseBindings
other-noise	61	https://prowiki.org/wiki4d/wiki.cgi?keywords=D__Tutorial
other-noise	39	https://www.wikiservice.at/dse/wiki.cgi?action=showtop&show=p
